username,label,HU_TweetNum,HU_TweetPercent_Original,HU_TweetPercent_Retweet,HU_AverageInterval_days,U_AccountAge_days,U_ListedNum,U_ProfileUrl,U_FollowerNumDay,U_FolloweeNumDay,U_TweetNumDay,U_ListedNumDay,total_posts,followers_count,following_count,verified,posting_frequency,aggr_text,retweet_count,follower_to_followee_ratio,retweet_ratio,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1,reliable,21,0.142857143,0.857142857,99.50382002,2245.71342,1,1,0.010241734,0.099300293,0.009351149,0.000445293,21,24,222,0,3.476190476,python trending noble honest win end whelp stuck usr usr taken,18,0.108108108,0.857142857,11,,,31.94,99,11,9.09,45.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,18.18,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,9.09,9.09,18.18,0,18.18,0,0,18.18,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,reliable,32,0.65625,0.34375,106.4363941,5790.259312,0,0,0.003281373,0.014507122,0.005526523,0,32,19,84,0,2.031304348,taco salad happening rt voicesaveadam url adulting hard nothing good pair pearl earrings fix url finally plumber knows plumb last day lifetouch bittersweet url new job fantastic cat barks url life today man life url need ear plugs would stop talking wanna stay bed day wishing clothes folded twitter watched jonah video superrrrr sad story usr watch pilot episode right away twitter yeahh yeahhh eclipse title treatment got back trishas bridalshower long drive like super tired waking long dayyy home late night work kohls sales never freaking end homework made twitter,11,0.226190476,0.34375,91,86.52,66.98,34.95,45.98,91,27.47,67.03,8.79,0,0,0,0,0,0,0,0,0,2.2,2.2,3.3,0,2.2,10.99,7.69,1.1,0,0,0,6.59,3.3,2.2,0,0,1.1,7.69,0,0,0,1.1,8.79,1.1,1.1,4.4,0,2.2,0,7.69,3.3,2.2,1.1,7.69,2.2,3.3,0,2.2,9.89,3.3,2.2,1.1,2.2,1.1,3.3,6.59,2.2,21.98,2.2,6.59,15.38,3.3,4.4,3.3,1.1,0,0,6.59,1.1,4.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,unreliable,50,0.28,0.72,20.75686579,2587.221858,0,0,0.00618424,0.066094061,0.025896504,0,67,16,171,0,9.601491951,url please anyone help would greatly appreciated thank official website url usr usr usr usr usr usr usr usr usr usr url official website url usr usr usr usr usr usr usr usr usr usr url official website url usr usr usr usr usr usr usr usr usr usr url seize time usr usr usr usr usr usr usr usr usr usr url question usr reproductive justice stand abortion mainly late term abortion limitations said abortions views url rightsforall url know someone u kinda kno gets shot outside ur local walmart rlly makes u think lucky u r jus alive thought notthesame worldonfire gangvilonce smalltown sign amp share tell usr follow lead usr banthebag usr url url smoking chillin wit best friend always matter wat love jewels humansbestfriend url bizarre reddish planet shaped object captured moon url url via usr aliens company laying almost workers tariffs cnnmoney url attack legionary ants also known army ants marabunta wasp honeycomb url url via usr nature fuckingbored url longest lunar eclipse century happen friday url rather president question ask talk impeachment url,49,0.093567251,0.731343284,179,87.23,82.89,6.13,77.23,179,25.14,40.22,7.82,3.35,2.23,0,0,2.23,0,0,1.12,0,1.68,0.56,2.23,0.56,0,7.82,3.35,1.12,0.56,0,0,5.03,3.91,1.12,0,1.12,0,8.94,0,0.56,0,0,10.61,3.91,1.12,1.12,4.47,0.56,1.12,1.12,0.56,0.56,0,3.91,0,2.23,2.23,0.56,10.06,2.23,2.23,6.15,2.23,0,1.12,6.15,0,7.82,1.12,3.35,3.35,2.23,0.56,0,0,0,0.56,5.03,0.56,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,unreliable,20,0.9,0.1,2.752055921,2375.673166,0,1,0.003367467,0.000841867,0.008418666,0,20,8,2,0,3.12633833,url url going festival weekend wait take cool shots festival perth camera photograph photography photographer fun newprofilepic url wedding weddings weddingphotographer weddingphotography photography photographer loveislove love url url url wedding weddings weddingphotographer weddingphotography photography photographer loveislove love url wedding weddings weddingphotographer weddingphotography photography photographer loveislove love url wedding weddings weddingphotographer weddingphotography photography photographer loveislove love url wedding weddings weddingphotographer weddingphotography photography photographer loveislove love url wedding weddings weddingphotographer weddingphotography photography photographer loveislove love url wedding weddings weddingphotographer weddingphotography photography photographer loveislove love url wedding weddings weddingphotographer weddingphotography photography photographer loveislove love url got photos edit wedding weddingphotography weddings weddingphotographer weddingphotos photograph photographer photography url website link bio wedding weddingphotography weddingphotographer photographer photography bride groom url bridesmaid bride photography photographer weddingphotographer weddingphotography url wedding bride photographer weddingphotography weddingphotographer photography url,2,4,0.1,129,,99,1,99,129,67.44,75.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,1.55,0,0,0,0,9.3,9.3,0,0,0,0,44.19,34.88,0,3.1,0,0.78,0.78,0,0,0,0,0,23.26,22.48,0,0.78,6.2,0,0,0,0,42.64,41.09,0,0,1.55,0,0.78,1.55,0.78,3.1,0.78,0.78,1.55,0.78,3.1,0,0,0,0,0.78,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,unreliable,50,0.34,0.66,7.262167895,2234.73371,0,0,0.000894961,0.010739535,0.025953875,0,58,2,25,0,9.649042844,swear angry face forever mood usr dope usr url thought moon song would run away best song record graceland know end ughhh masterpiece usr punisher 9 fucking days usr legit think punisher new usr go one time great indie records dropped moonsong insta live show arguably best four fire songs dropped album pumped since 22amillion years usr get credit ducking masterful records bon iver bon iver insanely good usr band moved emotionally bon iver said really wait justin starts writing songs love less social causes need usr tiny desk usr usr people need listening usr specifically lamplight go get usr zoom performance pinch good makes want eat lunchables 7 first time listened 22 million car drove around town finished whole album completely moved tears times sure ever felt way record first listen make difference usr world needs listening usr usr think ur contra fuck new harry style album good liking stop god help go covid usr drops punisher usr loop really appreciate work usr hope getting paid usr would smart hire english fans usr definite deyarmond edison vibes marion spiders crabs swim millie bobby underpaid ryan gosling getting brendan frazier one else concerned happened ryan gosling,37,0.08,0.637931034,196,89.92,63.97,30.01,81.07,196,22.96,62.76,5.61,0.51,0.51,0,0,0.51,0,0,0,0,1.53,1.02,3.06,0,0,20.41,6.63,2.04,0,5.1,1.02,12.24,7.14,4.08,0,3.57,0.51,6.12,0,0,0,0,13.78,3.06,2.04,3.57,0.51,3.06,2.04,6.12,0.51,4.59,1.02,3.57,0.51,0.51,1.02,1.02,11.73,1.53,2.55,4.59,5.1,0.51,4.59,11.73,0.51,16.33,5.1,3.06,8.16,3.57,3.06,0,1.53,0.51,0,2.04,1.02,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,unreliable,50,0.82,0.18,7.809826153,3133.888918,0,0,0.001595462,0.02712285,0.034461975,0,108,5,85,0,12.74490786,rogers junior high cheer url emoji url url enter win 4 full size boxes hot cocoa keurig k cup pods url title url url url 2 spooktacular halloween wreath ideas url 30 easy pumpkin carving ideas halloween url via usr housekeeping enter win lysol disinfecting wipes value pack giveaway url took real real challenge url realchallenge via usr enter win 4 full size boxes pumpkin spice keurig k cup coffee url want win four boxes pumpkin spice k cup coffee entered win url enter win 4 full size boxes pumpkin spice keurig k cup coffee url fragrance never request 4 free samples debut collection fragrance free url happypincher usr url yes url mysurvey discover power opinion url enter win 4 full size boxes starbucks caramel keurig k cup coffee url url url via usr url via usr mustard seed toys august magnetic tile giveaway url enter win 4 full size boxes starbucks caramel keurig k cup coffee url omg incense smoke turns mesmerizing waterfall url via usr url entered blissfully beach bracelet giveaway url giveaway contest win url check url social share url social share url strawberries cream magic bars url social share url url police stop question 20 million motorists every year 50 000 every day url url url check beach towel url enter win free clarins lip oil url check beach towel url check beach towel url sweet amp sour sauce mydailymoment url url lime melt away cookies mydailymoment url url url switch b protein bar url mysurvey discover power opinion url iced tea season enter win 4 full size boxes snapple keurig k cup tea url ooh snapple iced tea season enter win 4 full size boxes snapple keurig k cup tea url check url iced tea season enter win 4 full size boxes snapple keurig k cup tea url grab chance win one 1 000 usr full lip polish via usr url hurry got free samples url top brand name products sent absolutely free samplesource posted photo url hurry got free samples url top brand name products sent absolutely free samplesource win limited edition jeans courtesy usr rwnbyrawan giveaway url enter yankee candle jackson frost silhouette gift set giveaway url via usr slow cooked chicken la king url orchid transported childhood spending night grandmothers house onereason gotitfree free nivea manicure naturals french set url definitely putting together cleaning jobs mrsmeyerscrowd sponsored url never really thought try splenda salad dressings great idea splendasavvies sponsored url carrot pineapple slaw url social share url celebrating return spring lovecrowdtap url url 100 000 clean foods giveaway url via social share url elevated giving away free samples kickass natural energy mix get gt via usr awesome landing page powered url url url url usr url snaggletooth cat url get sevenminerals magnesiumsprays free via usr win essential oil gifts including oils jewelry sign url url clip amp go get rewards url excited usr gross sponges url bought one free 2oz sample check review url green dragon coffee win comfortable pants ever seriously giveaway sweepstakes url url,20,0.058823529,0.185185185,504,93.8,63.97,10.56,99,504,22.82,50,4.17,0,0,0,0,0,0,0,0,0,2.58,0,1.59,0,0.4,6.35,7.34,0.4,0,4.76,1.79,9.72,9.33,0.4,0,0,0,4.17,0.2,0,0.2,0.2,4.76,1.39,0.4,0.2,0.99,1.79,0.2,3.37,0.6,0,0.4,4.76,0.4,0,0,4.37,10.32,2.38,4.76,5.16,5.36,0.2,1.79,4.56,0,12.1,3.97,4.96,3.37,1.59,3.17,0.4,2.58,0,0,2.98,0,2.18,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,reliable,50,0.12,0.88,35.23214947,5894.183814,0,0,0.003223517,0.023073593,0.01798383,0,106,19,136,0,6.610285324,exclusive parking elderly url parabéns ao usr pela conquista itumbiara e c 2021 série campeonato goiano url vamos fugir das três melhor guaporé pois irajá e marajó também estão fervendo url usr attached picture taken son grande prova em morrinhos mantenga el foco felicitaciones url palavras de apoio vindas de pessoas fortes fazem diferença url women live longer men url hydrated enough affects url canalenergia dow lança solução para controle de vegetação na transmissão url ah nem url url via usr history makers amp risk takers 15 compelling photos shot last century usr url myanmar nas lentes de david lazar url url por que brasil e agora url via usr url amaral deixa itumbiara após atuar por apenas 59 minutos não entendi url ge3 url url itumbiara suzuki url usr com certeza alagados trenchtown manguetown usr feliz natal usr feliz natal pra vc e toda sua família usr petrobras abre 350 vagas até r 6 217 19 url usr petrobras abre 350 vagas e formação de cadastro reserva de até r 6 217 19 url,76,0.139705882,0.716981132,175,94.26,56.82,1,25.77,175,24,20.57,1.14,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,1.71,0.57,0.57,0,6.86,0,1.14,0.57,0.57,0.57,0,0,1.71,0.57,0,0.57,1.14,2.29,0,2.29,0,0,0,0,1.14,1.14,0,0,1.14,0,0.57,0,0.57,1.71,0,0,0.57,0.57,0.57,0.57,0.57,0,3.43,0,1.71,1.71,0,0,0,0,0,0,2.29,0,1.71,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0
8,unreliable,50,0.4,0.6,77.49401762,5031.924126,0,0,0.001391118,0.009340363,0.011128944,0,56,7,47,0,4.095371669,insert 𝗔𝗰𝘁𝗶𝘃𝗶𝘀𝗶𝗼𝗻 𝗜𝗗 warzonereport got custom hotplate csrclassics join free url url check classic car csrclassics free url url got custom hotplate csrclassics join free url url check classic car csrclassics ios free url iskaisnananswjsnbd dbe url got custom hotplate csrclassics ios join free url url isjaiajaoqikiunhyvjunughuhg hhbjjhjgekse url check stats csrclassics ios free url iaoquajqiqi url check classic car csrclassics ios free url url good luck esa cometlanding cometlanding lets repmundial 357 url usr 0 repgana 18 eqipos hanging url hey jessica expecting u school conference call daniela hello everyone let make today positive thinking day see happens euroespn va ganar portugal que si usr ok chillona wa wa wa usr momma says u cannot complain bout getting woke u go sleep late unnecessary ha usr hey sunshine go sleep late u wanna woken almost midday unnecessary,30,0.14893617,0.535714286,138,82.31,80.77,1,99,138,28.99,46.38,7.25,4.35,3.62,0,0.72,2.9,0,0,0.72,0,0,2.17,0.72,0,0.72,13.77,9.42,0,0,2.17,0,10.14,9.42,0.72,0,0,0,6.52,0.72,0,0.72,0,6.52,0.72,0.72,1.45,1.45,1.45,0.72,2.17,1.45,0.72,0,1.45,1.45,0,0,0,8.7,3.62,0,0,5.07,0,3.62,8.7,1.45,6.52,3.62,0,2.9,1.45,0.72,0,5.07,0,0,6.52,0,3.62,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,unreliable,31,0.064516129,0.935483871,11.70544599,3549.213918,6,0,0.081989986,0.118617815,0.010143091,0.001690515,33,307,417,1,3.432601881,cwb cwb url,29,0.736211031,0.878787879,3,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,unreliable,50,0.32,0.68,0.978580168,6426.705481,1,1,0.006068428,0.023340108,0.021472899,0.000155601,138,45,301,1,7.886331611,love watching wrestle powerful thing parent say match critique pressure support inclusive wrestling rooms lower standards raise participation kids growth stronger culture confidence grows knowing someone believes win lose person love watching wrestle powerful thing parent say match critique pressure support injured follow r c e method rest ice compression elevation early treatment speeds recovery prevents damage figure wrestling alone wrestlers coaches parents learning join matclub get weekly strategies actually help url officiating friends ever need scoring paddles check company url url every great wrestler started beginner room makes feel like belong stick around long enough improve constant criticism kills confidence balance feedback encouragement recognize effort results best wrestlers train year round clubs school coaches getting much credit url every week wait another week someone else getting better learn wrestle right way subscribe matclub newsletter url drop best x lists wrestling looking uww lists season wrestlers made improving someone else subscribe matclub real strategies every week url replaced slippery mats warm every session dynamic stretches light cardio prepare body mat cold muscles prone injury 1 0 mfs match everyone hellbent 1 0 ncaa match acceptable url coached hundreds wrestlers struggled losses easy see losing failure mindset keeps stuck real key winning think loss url kinda mat issues wtt event level fans love prepare kids tournament success true false url patience key recovery focus small milestones stay connected team mental resilience aids physical healing chair calls team conference url support mean ignoring mistakes means helping learn grow acknowledge effort ask questions celebrate progress use proper technique consistently sloppy moves increase injury risk practice precision stay safe effective job coach create champions create wrestlers stick sport grow say old school dangerous others say builds discipline mental edge stand url pushing beginners tough enough losing strategy wrestling build kids weed wrestling hard enough add pressure safe space another source stress coaches stop yelling parents stop overcoaching wrestlers stop overcomplicating start learning stuff actually works matclub sends inbox url give opponent chance got lead play clock crowd agree disagree url overtraining leads injuries schedule rest days listen body pain warning sign badge honor wrestling champions anyone willing show work cater elite shrink sport growth comes inclusion wrestlers lose matches mistakes make even step mat poor fueling cheat sheet gives simple plan eat drink matches weigh ins happen two hours url finished deep dive cary kolat system setting attacks watched hours technique took notes built summary breaks teaches setups every major attack found coaches teach systematizing attacks clean simple setups flow high percentage finishes avoid complicated risky setups position control tie create reactions attack directly every match breathe visualize focus mental prep matters much warm learning wrestle feel like guesswork real tips smart tactics short reads subscribe get better every week url amount cauliflower ears seats crazy url position everything emphasize position points wrestlers must learn control ties maintain dominant positions avoid bad spots solid positioning reduces risk creates scoring chances wrestlingcoach position control tie create reactions attack directly every season purpose pre season build season perform season recover improve train know training whoever said dumb questions never sports parent group chat want wrestle smarter harder matclub delivers fluff advice inbox subscribe url wrestling right things get fluff strategies train coach parent better subscribe url wrestle less train smart move season time cross train add variety stay fresh avoid burnout try new moves fix bad habits attend clinics season skill set expands pressure perfect time experiment season recovery reinvention heal reflect rebuild work needs level practice make perfect perfect reps full focus clear goals treat every drilling session like actually matters want improve faster start journaling practice log drilled felt working next compound wrestlers go autopilot halfway practice best ones stay locked warm cool hit shot practice close eyes visualize first brain know difference mental reps real ones use advantage drill partner pushing holding back find someone makes uncomfortable keep drilling becomes comfortable wrestling game inches hand placement foot angles head position focus small details win close matches active rest cheat code practice instead standing still stay loose stretch breathe shadow drill body coach thank later 10 perfect reps 20 lazy ones quality gt quantity especially drilling overrated part typical wrestling practice underrated walk practice without goal surprised leave without progress set one focus write drill like matters,76,0.149501661,0.550724638,713,89.53,67.82,41.02,62.99,713,38.57,67.74,4.77,2.1,0,0,0,0,0,0,2.1,0,0.98,0.28,1.54,0,0.42,14.87,9.26,2.66,0.14,1.4,2.95,15.43,8.56,6.59,1.82,1.68,1.26,6.73,0.84,0.28,0,0,14.17,3.93,3.37,0.98,1.4,3.65,1.4,4.63,1.54,1.12,1.96,4.07,2.24,1.68,0.14,0.42,21.6,3.09,10.66,6.31,4.49,3.23,1.4,12.48,0.42,15.29,4.21,5.89,6.17,6.45,2.66,0.28,0.28,0,0.14,0.84,0.28,0.42,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
