feature,drop_F1_mean,drop_F1_std,n_folds,base_F1,abl_F1
user:U_TweetNumDay,0.03324696528369684,0.04789578567822103,5,0.6402871146767873,0.6070401493930906
user:posting_frequency,0.025230700561976804,0.04101053763700091,5,0.6402871146767873,0.6150564141148106
user:total_posts,0.023132972504980965,0.022903825174658013,5,0.6402871146767873,0.6171541421718064
user:U_ProfileUrl,0.01218433803632526,0.03552182348387139,5,0.6402871146767873,0.6281027766404621
user:U_FolloweeNumDay,0.011303258145363416,0.025274853580260794,5,0.6402871146767873,0.628983856531424
user:retweet_count,0.006397364255269644,0.05731858821931601,5,0.6402871146767873,0.6338897504215177
user:HU_AverageInterval_days,0.005857191294958386,0.026004839602118513,5,0.6402871146767873,0.634429923381829
user:HU_TweetNum,0.005630689024518421,0.012590603418985168,5,0.6402871146767873,0.634656425652269
user:U_ListedNumDay,0.00487420376499057,0.03204926017652221,5,0.6402871146767873,0.6354129109117969
user:HU_TweetPercent_Retweet,0.0003295259778193671,0.03016568555438272,5,0.6402871146767873,0.639957588698968
user:U_AccountAge_days,0.00020466118256918798,0.04063170815083754,5,0.6402871146767873,0.6400824534942182
user:HU_TweetPercent_Original,-0.00014352247910005557,0.01973518558799232,5,0.6402871146767873,0.6404306371558874
user:follower_to_followee_ratio,-0.00024654618647945714,0.0005512940325614057,5,0.6402871146767873,0.6405336608632669
user:followers_count,-0.0005151545984256823,0.030110548251146996,5,0.6402871146767873,0.6408022692752131
user:following_count,-0.006341642228739008,0.014180343112443693,5,0.6402871146767873,0.6466287569055265
user:retweet_ratio,-0.00786771468523122,0.03378772200968479,5,0.6402871146767873,0.6481548293620186
user:verified,-0.012758765150311314,0.02852946618505142,5,0.6402871146767873,0.6530458798270987
user:U_ListedNum,-0.0180398842809709,0.027616030476316143,5,0.6402871146767873,0.6583269989577583
user:U_FollowerNumDay,-0.019144158570869353,0.028063769560448235,5,0.6402871146767873,0.6594312732476568
