feature,n_folds,selected_frac,sign_consistency,mean_abs_drop,mean_drop,majority_sign,score
user:total_posts,5,1.0,1.0,0.03357209404302312,0.03357209404302312,1,0.03357209404302312
user:posting_frequency,5,1.0,0.8,0.03408139252640977,0.029113385308183016,1,0.027265114021127818
user:HU_TweetPercent_Retweet,5,1.0,0.8,0.02545216603805679,0.0152115952352927,1,0.02036173283044543
user:U_FollowerNumDay,5,1.0,0.8,0.016410709033422784,-0.015855660057321176,-1,0.013128567226738228
user:retweet_count,5,1.0,0.8,0.014463492905899461,0.012858205093535146,1,0.01157079432471957
user:following_count,5,1.0,0.8,0.006723421767936925,-0.005340263016357122,-1,0.0053787374143495405
user:HU_AverageInterval_days,5,1.0,0.8,0.0056538937984769505,0.0049629356338345715,1,0.004523115038781561
user:U_ListedNumDay,5,1.0,0.8,0.0055901273332044366,0.003875197683183501,1,0.004472101866563549
user:verified,5,1.0,0.8,0.005179900273431782,0.0017181017609233331,1,0.004143920218745426
user:follower_to_followee_ratio,5,1.0,1.0,0.00385804169984304,0.00385804169984304,1,0.00385804169984304
