feature,drop_mean,drop_std,n_folds
user:HU_AverageInterval_days,0.011394993858991814,0.025151075146272,5
user:follower_to_followee_ratio,0.0058442311958820875,0.011443652411082948,5
user:HU_TweetNum,0.002546232695705389,0.019018831972128388,5
user:verified,0.002405295810672081,0.0036956836835111747,5
user:posting_frequency,0.002284818773606708,0.026231463250938454,5
user:retweet_count,0.0013513050429976483,0.03602775769062666,5
user:U_ProfileUrl,-2.0396481175063985e-07,0.02781809433451467,5
user:U_TweetNumDay,-0.0005737237569110462,0.016639151763215305,5
user:HU_TweetPercent_Retweet,-0.0009900202118741097,0.0368718062204245,5
user:U_FollowerNumDay,-0.002512090537961491,0.003152907547198055,5
user:U_FolloweeNumDay,-0.0026212426103723397,0.02539250571200558,5
user:total_posts,-0.003057089623761544,0.027631717791842123,5
user:HU_TweetPercent_Original,-0.00323284921557999,0.024118681857274157,5
user:U_ListedNumDay,-0.004304836358423707,0.017632740236439504,5
user:retweet_ratio,-0.0064020071897020305,0.029377806814739758,5
user:following_count,-0.007132770661225997,0.021782275029289155,5
user:U_ListedNum,-0.007618100202977264,0.016807091788281703,5
user:U_AccountAge_days,-0.00817076680028612,0.04206444912145712,5
user:followers_count,-0.013843300229286024,0.02559930950756782,5
