cluster,drop_F1_mean,drop_F1_std,n_folds
102,0.051924683503630886,,1
146,0.049672470809273284,0.13604690500535369,5
149,0.039796747967479784,,1
171,0.027157065972855443,0.04771397816935938,5
92,0.026529563755430897,0.020091481801574745,5
189,0.025962341751815443,0.03671629581638266,2
141,0.02561265719160455,,1
113,0.022930357867777668,0.02693664578204403,4
29,0.021865596144094855,0.02344900322255901,5
1,0.015719457336665722,0.03278266822353697,5
163,0.01293351290528294,0.041525363461466555,3
111,0.012463047080255463,0.0621115694689029,5
75,0.011659919028340099,0.01648961562605069,2
93,0.008564727954971874,0.014834543971016773,3
76,0.007773279352226732,0.013463714779482792,3
129,0.0046074465404443935,0.03944398123549853,5
127,0.004238797893297041,0.029793922513894514,5
185,0.0013373155237426325,0.0760416214444898,5
44,0.0,,1
50,0.0,,1
126,0.0,,1
99,0.0,,1
83,0.0,,1
15,-0.004052700082411454,0.03632199708921737,5
18,-0.005065875103014317,0.04185936541065806,4
70,-0.006597614103975502,0.041439970483253506,5
37,-0.006613167384102692,0.07013403216915932,5
7,-0.012719331485211677,0.04064189335747461,2
39,-0.01536534701857284,0.02172988214423471,2
199,-0.016229987395062383,0.05646577189326402,5
40,-0.041457489878542475,,1
184,-0.041457489878542475,,1
