fold,cluster,saliency
1,70,43.552756667137146
1,185,40.279232542496175
1,37,37.11895858915523
1,129,33.52656008908525
1,111,26.004248722922057
1,146,19.705353162251413
1,199,19.65193399367854
1,15,14.343830860685557
1,171,13.708147298078984
1,92,9.755268291570246
1,1,9.036423372104764
1,127,8.679600595030934
1,93,8.088952416088432
1,75,7.842114409431815
1,113,7.803235225379467
1,149,7.2187446360476315
1,29,7.216238701948896
1,99,6.955289395293221
1,50,6.9424426523037255
1,44,6.749597727321088
1,39,6.378964782692492
1,89,6.189564131200314
1,27,6.002493693027645
1,163,5.860042327083647
1,40,5.741906777024269
1,189,5.6016537747345865
1,18,5.398181535303593
1,154,5.125323720742017
1,48,4.4736989960074425
1,87,4.45546714309603
1,190,4.316588850226253
1,131,4.3124700197950006
1,153,4.259755859617144
1,38,4.139739991165698
1,76,4.029591288883239
1,184,3.9521903190761805
1,134,3.8879467421211302
1,181,3.8619422297924757
1,7,3.506844475865364
1,83,3.5046529441606253
1,72,3.504009407479316
1,116,3.3921860167756677
1,141,3.200288194231689
1,156,3.1631284379400313
1,107,3.12052137311548
1,118,3.0983662661165
1,61,3.0284000989049673
1,102,2.848928942810744
1,34,2.70527973677963
1,126,2.6889839810319245
1,85,2.688634557649493
1,161,2.6340859392657876
1,139,2.629720547236502
1,128,2.5936369956471026
1,79,2.494054569862783
1,133,2.478173140436411
1,109,2.4299450856633484
1,145,2.2655812120065093
1,36,2.2070425278507173
1,25,2.1931907208636403
1,91,2.1812347010709345
1,96,2.1442939713597298
1,11,2.143747896887362
1,68,2.122100037522614
1,147,2.0907487981021404
1,120,2.0449670352973044
1,193,2.0254214061424136
1,164,2.01049917191267
1,6,1.9580356506630778
1,136,1.9343515150249004
1,64,1.9119672970846295
1,59,1.885486926883459
1,67,1.8364181965589523
1,51,1.7823630603961647
1,176,1.7794160041958094
1,194,1.711949560791254
1,195,1.7093959748744965
1,12,1.6588654178194702
1,108,1.565542884171009
1,121,1.5650887335650623
1,182,1.5465073459781706
1,170,1.3582501094788313
1,117,1.3520823922008276
1,28,1.2986645540222526
1,58,1.2911063018254936
1,177,1.2866889350116253
1,20,1.262162215076387
1,65,1.2531753089278936
1,73,1.205856944900006
1,23,1.177389981225133
1,142,1.1265433602966368
1,103,1.0513720707967877
1,56,1.032550761476159
1,152,1.014737672638148
1,3,0.9739399133250117
1,42,0.9728286527097225
1,55,0.9353647530078888
1,173,0.8560376316308975
1,5,0.8382090218365192
1,49,0.7951446129009128
1,196,0.7542626094073057
1,105,0.7385566318407655
1,197,0.7343320287764072
1,119,0.7230810942128301
1,168,0.646546789444983
1,77,0.5986162535846233
1,188,0.5909502804279327
1,45,0.5640968047082424
1,81,0.5611406192183495
1,24,0.5443016141653061
1,97,0.515242007561028
1,33,0.5142049742862582
1,110,0.4649811824783683
1,135,0.4607466128654778
1,166,0.4346850011497736
1,80,0.4218858778476715
1,63,0.4075121162459254
1,155,0.3746702126227319
1,60,0.3720176424831152
1,140,0.3665289133787155
1,169,0.36052990704774857
1,74,0.34557273983955383
1,90,0.34303877502679825
1,159,0.33906486444175243
1,78,0.33862871676683426
1,180,0.31481538340449333
1,17,0.3041688948869705
1,114,0.27590715885162354
1,10,0.2733707195147872
1,179,0.262262923642993
1,160,0.24934271816164255
1,31,0.22890819888561964
1,54,0.22493158280849457
1,104,0.21833329275250435
1,200,0.21344296913594007
1,57,0.20860565453767776
1,13,0.20549412071704865
1,165,0.19941252004355192
1,150,0.19688666705042124
1,69,0.1945883333683014
1,52,0.19354942254722118
1,132,0.19003573060035706
1,46,0.17762921750545502
1,198,0.15270547475665808
1,53,0.1500967051833868
1,100,0.14337937626987696
1,101,0.13006389141082764
1,172,0.12848594319075346
1,4,0.1265539675951004
1,62,0.12337926775217056
1,71,0.11445092223584652
1,191,0.10849043540656567
1,192,0.10806202329695225
1,47,0.105156141333282
1,22,0.10383270680904388
1,112,0.07428962364792824
1,16,0.06991095840930939
1,183,0.06408669054508209
1,186,0.05791511759161949
1,30,0.05017510801553726
1,137,0.03802883252501488
1,95,0.03706091735512018
1,41,0.02510720957070589
1,175,0.0230257585644722
1,88,0.02255619503557682
1,144,0.018859976902604103
1,123,0.01626097783446312
1,157,0.01605788618326187
1,26,0.014235880225896835
