fold,arm,P,R,F1
1,text,0.498452012,0.498452012,0.498452012
1,user,0.581168831,0.577399381,0.575137687
1,fusion,0.557275542,0.557275542,0.555555556
2,text,0.552727273,0.544891641,0.532467532
2,user,0.732441472,0.715170279,0.714285714
2,fusion,0.581168831,0.577399381,0.575137687
3,text,0.581168831,0.577399381,0.575137687
3,user,0.678571429,0.623839009,0.601702128
3,fusion,0.583333333,0.574303406,0.566960706
4,text,0.491638796,0.492260062,0.485714286
4,user,0.609907121,0.609907121,0.609907121
4,fusion,0.431438127,0.436532508,0.428571429
5,text,0.425287356,0.457236842,0.403409091
5,user,0.513071895,0.513157895,0.512694513
5,fusion,0.532608696,0.529605263,0.523809524
Arm,Precision (P),Recall (R),F1,
Text,0.5099 ± 0.0603,0.5140 ± 0.0472,0.4990 ± 0.0637,
User,0.6230 ± 0.0853,0.6079 ± 0.0736,0.6027 ± 0.0731,
Fusion,0.5372 ± 0.0626,0.5350 ± 0.0582,0.5300 ± 0.0600,
