fold,cluster,drop_F1
5,70,-0.05238095238095236
5,111,0.006727506727506716
5,37,-0.08053221288515405
5,185,-0.10793260793260795
5,129,-0.10793260793260795
5,15,-0.019580200501253087
5,171,-0.08053221288515405
5,199,-0.07714598997493732
5,1,0.0127023514120288
5,146,0.019933042597242434
5,92,-0.011904761904761862
5,40,0.0127023514120288
5,75,0.04642857142857143
5,18,0.02292843125475591
5,50,-0.011904761904761862
5,189,-0.011904761904761862
5,113,-0.011904761904761862
5,126,0.0
5,48,0.02292843125475591
5,29,-0.04519673874512581
