feature,n_folds,selected_frac,sign_consistency,mean_abs_drop,mean_drop,majority_sign,score
topic:146,5,1.0,0.8,0.09995643377938276,0.08587797014197768,1,0.07996514702350621
topic:70,5,1.0,0.8,0.06732124600695752,0.04636886505457657,1,0.05385699680556602
topic:37,5,1.0,0.8,0.06373278605421065,0.031519900900149035,1,0.05098622884336852
topic:171,5,1.0,0.8,0.06041457958383032,0.0282016944297687,1,0.04833166366706426
topic:129,5,1.0,0.8,0.04760318831908057,0.0044301451460373896,1,0.03808255065526446
topic:185,5,1.0,0.6,0.05372314832375347,-0.0004837858831807651,1,0.03223388899425208
topic:75,4,0.8,1.0,0.027813465253553563,0.027813465253553563,1,0.022250772202842852
topic:111,5,1.0,0.6,0.028589693931001824,0.0045934846495017,1,0.017153816358601092
topic:1,5,1.0,1.0,0.016295456736054703,0.016295456736054703,1,0.016295456736054703
topic:18,4,0.8,0.75,0.024532787052913715,0.0107404232605499,1,0.014719672231748231
topic:199,5,1.0,0.6,0.019511125030425923,-0.013178327393280476,1,0.011706675018255553
topic:113,4,0.8,0.75,0.01918251287260117,0.01323013192022024,1,0.011509507723560705
topic:15,5,1.0,0.8,0.013439637974684882,0.005607557774183647,1,0.010751710379747906
topic:40,3,0.6,1.0,0.014829448897112166,0.014829448897112166,1,0.0088976693382673
topic:127,4,0.8,1.0,0.010961430526647886,0.010961430526647886,1,0.00876914442131831
topic:39,2,0.4,1.0,0.018494468494468508,0.018494468494468508,1,0.007397787397787403
topic:93,2,0.4,1.0,0.018494468494468508,0.018494468494468508,1,0.007397787397787403
topic:89,1,0.2,1.0,0.036988936988937016,0.036988936988937016,1,0.007397787397787403
topic:92,5,1.0,0.8,0.008738151436813913,0.003976246674909168,1,0.006990521149451131
topic:189,2,0.4,1.0,0.017087542087542068,-0.017087542087542068,-1,0.0068350168350168276
topic:29,4,0.8,0.75,0.011299184686281452,-0.011299184686281452,1,0.0067795108117688725
topic:48,1,0.2,1.0,0.02292843125475591,0.02292843125475591,1,0.004585686250951182
topic:149,1,0.2,1.0,0.01583199409286362,0.01583199409286362,1,0.0031663988185727243
topic:50,1,0.2,1.0,0.011904761904761862,-0.011904761904761862,-1,0.0023809523809523725
topic:141,1,0.2,1.0,0.0008599931200550248,0.0008599931200550248,1,0.00017199862401100498
topic:163,2,0.4,1.0,0.0,0.0,1,0.0
topic:7,2,0.4,1.0,0.0,0.0,1,0.0
topic:76,2,0.4,1.0,0.0,0.0,1,0.0
topic:126,1,0.2,1.0,0.0,0.0,1,0.0
topic:153,1,0.2,1.0,0.0,0.0,1,0.0
topic:184,1,0.2,1.0,0.0,0.0,1,0.0
topic:27,1,0.2,1.0,0.0,0.0,1,0.0
topic:99,1,0.2,1.0,0.0,0.0,1,0.0
