cluster,drop_F1_mean,drop_F1_std,n_folds
146,0.11696030177616548,0.11620344332584169,5
171,0.06889247448001788,0.11242442012126816,5
129,0.06007898452470328,0.06728686344636683,5
185,0.049307830038385236,0.040326515580630266,5
83,0.04640468227424743,,1
29,0.04185407319426745,0.03410384094778317,3
1,0.04158494743555258,0.019829920596758963,5
70,0.037349075199680316,0.06343597191513663,5
15,0.02950591060762624,0.05062030572650224,5
40,0.02934533175976924,0.031423650063543404,3
27,0.02644230769230771,,1
92,0.026121008839213755,0.028087323675131934,5
75,0.02568320742986363,0.03632154027255459,2
38,0.02553599527930772,,1
199,0.02324318430482124,0.03515080340310497,5
93,0.02224714634775149,0.014339100694877602,5
163,0.02130663505663503,0.019887505522429735,3
153,0.01987902938874264,,1
50,0.017735887301104758,,1
127,0.015579489672637364,0.03214616906873691,4
189,0.011648936170212787,0.016474083519133424,2
7,0.011648936170212787,0.016474083519133424,2
37,0.010882242351156623,0.060048349117382556,5
18,0.006567691938302644,0.0396597358516355,4
113,0.0012530231885451437,0.022599625999836538,3
133,0.0,,1
48,0.0,,1
182,0.0,,1
111,-0.0049643713246819935,0.03332646213441634,5
39,-0.005674589055717642,0.032187129301291154,3
76,-0.01538641308698524,0.04987286703226258,2
99,-0.0403216395075785,,1
