fold,cluster,saliency
2,70,43.92208334058523
2,111,43.17107914201915
2,37,42.41131788864732
2,185,39.39783762767911
2,129,32.82313750963658
2,15,18.176662417128682
2,146,17.407884247601032
2,171,15.32596966251731
2,92,14.84425774216652
2,199,13.91215786524117
2,18,11.125699067488313
2,1,10.985613809898496
2,93,10.63507218286395
2,39,10.558507978916168
2,127,9.685333786532283
2,40,9.674238787963986
2,189,8.77667666785419
2,7,8.218379002064466
2,83,7.646155612543225
2,182,7.577012985944748
2,27,7.082742009311914
2,89,7.069309428334236
2,29,6.7824883833527565
2,75,6.596666885539889
2,48,6.434344962239265
2,149,6.192695962265134
2,133,6.186634294688702
2,50,5.907435193657875
2,76,5.8071031384170055
2,163,5.290005011484027
2,154,5.25581231713295
2,153,5.046132547780871
2,184,4.788379546254873
2,177,4.7333294078707695
2,113,4.691781440749764
2,87,4.48855709657073
2,91,4.281232487410307
2,197,4.170674506574869
2,176,4.131712723523378
2,190,3.9465912338346243
2,181,3.823002628982067
2,36,3.7860864773392677
2,134,3.7848304752260447
2,96,3.7520395778119564
2,20,3.471038192510605
2,116,3.4473283886909485
2,131,3.4416416566818953
2,161,3.2703351713716984
2,56,3.1793183349072933
2,51,3.1592343989759684
2,108,3.1216189712285995
2,183,3.046983689069748
2,30,3.0270755775272846
2,38,3.0243837404996157
2,128,2.998580116778612
2,164,2.966015100479126
2,156,2.9561190847307444
2,194,2.9158425740897655
2,85,2.9152638129889965
2,107,2.887123968452215
2,193,2.8834413178265095
2,105,2.848022624850273
2,68,2.8376991283148527
2,109,2.691156232729554
2,99,2.552974345162511
2,11,2.5196418464183807
2,63,2.5196237340569496
2,142,2.38439629599452
2,25,2.3750868923962116
2,72,2.3576383255422115
2,55,2.3270233534276485
2,139,2.200450520031154
2,200,2.171483751386404
2,170,2.043439108878374
2,155,1.9774139113724232
2,196,1.9217941723763943
2,126,1.8426212705671787
2,3,1.8278560638427734
2,145,1.81968436203897
2,28,1.7230735309422016
2,100,1.703912153840065
2,135,1.6899464949965477
2,102,1.6792014446109533
2,24,1.6590334754437208
2,52,1.5978724658489227
2,67,1.5797142870724201
2,49,1.5395887047052383
2,61,1.4500887021422386
2,58,1.4409064576029778
2,73,1.4123182743787766
2,169,1.3716952949762344
2,6,1.3482819721102715
2,59,1.3376189693808556
2,79,1.3031583540141582
2,110,1.277451530098915
2,64,1.2491337899118662
2,8,1.2177686095237732
2,34,1.2022998072206974
2,195,1.1621143855154514
2,168,1.1486341655254364
2,57,1.1145536452531815
2,172,1.1027556210756302
2,188,1.0903008319437504
2,42,1.087857373058796
2,118,1.08513761498034
2,10,1.0659362562000751
2,62,1.043984342366457
2,120,1.041906412690878
2,45,1.007032297551632
2,147,0.9703821986913681
2,180,0.9683274086564779
2,47,0.9591204039752483
2,132,0.9558720663189888
2,121,0.9526117481291294
2,33,0.9522289149463177
2,136,0.9285167902708054
2,94,0.9256730079650879
2,101,0.9201328009366989
2,166,0.9168914183974266
2,69,0.8478367105126381
2,103,0.8113421462476254
2,21,0.7728241235017776
2,179,0.7098008282482624
2,157,0.693123459815979
2,13,0.6667739376425743
2,12,0.6543751657009125
2,78,0.6318346187472343
2,165,0.6067233234643936
2,77,0.5739294569939375
2,112,0.5651540756225586
2,95,0.519962664693594
2,22,0.5180602073669434
2,160,0.5168129354715347
2,141,0.5126921720802784
2,90,0.4943166859447956
2,117,0.4893457293510437
2,173,0.4838660806417465
2,53,0.4694801978766918
2,74,0.44666413217782974
2,23,0.4400586821138859
2,65,0.43100715801119804
2,137,0.40036188066005707
2,159,0.3958660438656807
2,80,0.3947299011051655
2,148,0.3879595398902893
2,186,0.38101230934262276
2,16,0.35107485949993134
2,175,0.3449622467160225
2,198,0.32993675768375397
2,140,0.32376503199338913
2,152,0.31758512556552887
2,5,0.30757006630301476
2,97,0.29624972492456436
2,54,0.29040541872382164
2,71,0.2689223401248455
2,150,0.2666323855519295
2,60,0.2409670241177082
2,46,0.2197539210319519
2,26,0.20616646856069565
2,17,0.20190810039639473
2,143,0.17476344853639603
2,32,0.15865342319011688
2,144,0.15150409564375877
2,41,0.13302843272686005
2,119,0.12552927434444427
2,84,0.12484031915664673
2,187,0.12245681881904602
2,44,0.1173308864235878
2,192,0.10269470512866974
2,31,0.09227045625448227
2,82,0.08290623128414154
2,122,0.06344708055257797
2,81,0.06167955696582794
2,115,0.05577678978443146
2,14,0.04293736815452576
2,98,0.02943044900894165
