fold,arm,P,R,F1
1,text,0.4375,0.456656347,0.41787234
1,user,0.263888889,0.5,0.345454545
1,fusion,0.703703704,0.653250774,0.638795987
2,text,0.518518519,0.513931889,0.474025974
2,user,0.796875,0.617647059,0.56302521
2,fusion,0.58125,0.580495356,0.58041958
3,text,0.424242424,0.476780186,0.376923077
3,user,0.65625,0.561919505,0.495798319
3,fusion,0.616666667,0.56501548,0.520851819
4,text,0.356363636,0.377708978,0.357142857
4,user,0.619230769,0.595975232,0.566960706
4,fusion,0.464285714,0.465944272,0.46184107
5,text,0.583333333,0.541118421,0.489795918
5,user,0.435606061,0.444078947,0.416666667
5,fusion,0.416666667,0.419407895,0.416666667
Arm,Precision (P),Recall (R),F1,
Text,0.4640 ± 0.0881,0.4732 ± 0.0626,0.4232 ± 0.0582,
User,0.5544 ± 0.2073,0.5439 ± 0.0714,0.4776 ± 0.0959,
Fusion,0.5565 ± 0.1161,0.5368 ± 0.0936,0.5237 ± 0.0891,
