Unnamed: 0,username,LABEL,processed,user_found,error,user_id,verified,account_age_days,followers_count,following_count,tweet_count_total,follower_following_ratio,tweets_fetched,fraction_retweets,fraction_with_urls,fraction_with_media,avg_tweet_length,avg_sentiment,tweets_per_week,domain_diversity,network_clustering_coefficient,mutual_followers_with_misinfo_spreaders,interaction_with_bots,inferred_political_leaning,personality_big_five,cognitive_reflection_score,avg_exclamation_count,liwc_categories,topic_distribution,image_content_descriptors,image_forensic_signals
0,____NWO,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
1,_Anthony_Brcdy,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
2,_GodCreator_,unreliable,True,True,,1.004096937832792e+18,False,2497.0,290.0,877.0,19217.0,0.330672748004561,99.0,0.7777777777777778,0.2929292929292929,0.2222222222222222,97.91919191919192,0.044873518737155,0.2775330396475771,0.1379310344827586,,,,,,,,,,,
3,_Infinate_Love,unreliable,True,True,,103130236.0,False,5567.0,131.0,173.0,441.0,0.7572254335260116,0.0,,,,,,,,,,,,,,,,,,
4,_LauraJWilliams,reliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
5,_Rialto_,unreliable,True,True,,8.551758978712535e+17,False,2908.0,131.0,1133.0,15356.0,0.115622241835834,100.0,0.87,0.16,0.1,121.47,0.0540739538239538,0.2407152682255846,0.1875,,,,,,,,,,,
6,0Wotp5,unreliable,True,True,,1.0587451541006991e+18,False,2346.0,475.0,460.0,3126.0,1.0326086956521738,107.0,0.3831775700934579,0.1869158878504672,0.1308411214953271,332.41121495327104,0.0460870807541368,0.3192668371696504,0.15,,,,,,,,,,,
7,123sapuan,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12v44,unreliable,True,True,,9.281171273783336e+17,False,2707.0,131.0,126.0,4265.0,1.0396825396825398,90.0,0.2777777777777778,0.4444444444444444,0.4111111111111111,90.33333333333331,0.2444353029300946,0.2327299593646102,0.025,,,,,,,,,,,
9,147Luuk,unreliable,True,True,,2250637523.0,False,4116.0,340.0,209.0,14537.0,1.6267942583732058,100.0,0.36,0.13,0.09,123.02,0.0158358585858585,0.1700680272108843,0.2307692307692307,,,,,,,,,,,
10,316Pill,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
11,35bbbbb,unreliable,True,True,,45448933.0,False,5782.0,177.0,616.0,5587.0,0.2873376623376623,88.0,0.875,0.25,0.0795454545454545,116.26136363636364,0.0146176524443569,0.1065375302663438,0.2727272727272727,,,,,,,,,,,
12,3rdleg_dot_cum,unreliable,True,True,,413891992.0,False,4890.0,69.0,801.0,192.0,0.0861423220973782,0.0,,,,,,,,,,,,,,,,,,
13,4_Gondor,unreliable,True,True,,609411970.0,False,4678.0,58.0,49.0,2947.0,1.183673469387755,91.0,0.7472527472527473,0.5494505494505495,0.2967032967032967,97.37362637362638,0.0487453654201701,0.1361693031209918,0.14,,,,,,,,,,,
14,497362,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
