fold,feature,delta_F1
1,HU_TweetNum,0.0
1,HU_TweetPercent_Original,0.0
1,HU_TweetPercent_Retweet,0.0
1,HU_AverageInterval_days,0.030692959001782483
1,U_AccountAge_days,-0.031588845215505645
1,U_ListedNum,0.06066176470588225
1,U_ProfileUrl,0.0
1,U_FollowerNumDay,-0.02991310160427818
1,U_FolloweeNumDay,0.0
1,U_TweetNumDay,0.0
1,U_ListedNumDay,0.06066176470588225
1,total_posts,0.0
1,followers_count,0.0
1,following_count,0.0
1,verified,0.02924064787205194
1,posting_frequency,0.0
1,retweet_count,0.0
1,follower_to_followee_ratio,-0.003145424836601407
1,retweet_ratio,-0.02991310160427818
2,HU_TweetNum,0.03152492668621698
2,HU_TweetPercent_Original,0.0
2,HU_TweetPercent_Retweet,0.0
2,HU_AverageInterval_days,0.1560347306077856
2,U_AccountAge_days,0.03152492668621698
2,U_ListedNum,0.0
2,U_ProfileUrl,0.0
2,U_FollowerNumDay,0.0
2,U_FolloweeNumDay,0.0
2,U_TweetNumDay,0.0
2,U_ListedNumDay,0.0
2,total_posts,0.03152492668621698
2,followers_count,0.0
2,following_count,0.0
2,verified,0.06256109481915928
2,posting_frequency,0.0
2,retweet_count,0.03152492668621698
2,follower_to_followee_ratio,0.06256109481915928
2,retweet_ratio,0.06083527151380319
3,HU_TweetNum,0.0
3,HU_TweetPercent_Original,0.03660803660803663
3,HU_TweetPercent_Retweet,0.03660803660803663
3,HU_AverageInterval_days,0.0
3,U_AccountAge_days,0.03660803660803663
3,U_ListedNum,0.03660803660803663
3,U_ProfileUrl,0.03660803660803663
3,U_FollowerNumDay,0.008583953411539558
3,U_FolloweeNumDay,0.03660803660803663
3,U_TweetNumDay,0.03660803660803663
3,U_ListedNumDay,0.03660803660803663
3,total_posts,0.0
3,followers_count,0.03660803660803663
3,following_count,0.03660803660803663
3,verified,0.03660803660803663
3,posting_frequency,0.03660803660803663
3,retweet_count,0.0
3,follower_to_followee_ratio,0.07163814060365786
3,retweet_ratio,0.04258376023081906
4,HU_TweetNum,0.0
4,HU_TweetPercent_Original,0.0
4,HU_TweetPercent_Retweet,0.0
4,HU_AverageInterval_days,-0.03176930596285432
4,U_AccountAge_days,-0.03176930596285432
4,U_ListedNum,0.0
4,U_ProfileUrl,-0.03176930596285432
4,U_FollowerNumDay,0.0
4,U_FolloweeNumDay,0.0
4,U_TweetNumDay,0.0
4,U_ListedNumDay,0.0
4,total_posts,0.0
4,followers_count,0.030791788856304958
4,following_count,0.0
4,verified,0.0
4,posting_frequency,0.0
4,retweet_count,0.0
4,follower_to_followee_ratio,-0.03176930596285432
4,retweet_ratio,-0.03176930596285432
5,HU_TweetNum,0.03489203489203496
5,HU_TweetPercent_Original,0.0
5,HU_TweetPercent_Retweet,0.0
5,HU_AverageInterval_days,0.03489203489203496
5,U_AccountAge_days,-0.028600028600028526
5,U_ListedNum,0.0
5,U_ProfileUrl,0.03489203489203496
5,U_FollowerNumDay,0.0
5,U_FolloweeNumDay,0.028465712676239097
5,U_TweetNumDay,0.0
5,U_ListedNumDay,0.0
5,total_posts,0.0
5,followers_count,0.0
5,following_count,0.028465712676239097
5,verified,-0.028600028600028526
5,posting_frequency,0.0
5,retweet_count,0.03489203489203496
5,follower_to_followee_ratio,0.03862686215627398
5,retweet_ratio,0.03862686215627398
