feature,abs_coef_mean,abs_coef_std
bow:care,4.241545854582829,9.462700871475157
bow:power,3.921757480815028,8.726845211146228
bow:tweet,3.7799410777208466,8.428644853647766
bow:gets,3.731595218676123,8.295714876237499
bow:al,3.3537799768725547,7.452459511035213
bow:bc,2.9133864739066824,5.804877940660796
bow:un,2.901116378294644,6.4400327050253985
bow:hours,2.7609172258747945,6.139123611582942
bow:deep,2.6621446625048835,5.312326100169199
bow:weekend,2.5715880794402666,5.725707822801728
bow:boy,2.5040315541122977,5.592136853882564
bow:test,2.3766074737759113,5.283101758915087
bow:action,2.3636437594608797,5.275859318620696
bow:1st,2.3577195000664237,4.702161684788832
bow:ask,2.3484536292417957,5.2313389881454
bow:friends,2.3006357558045805,5.126689477383987
bow:30,2.2623912164868774,5.030275201129997
bow:die,2.245645680405631,5.003345808936388
bow:truth,2.244662510914704,4.784927646538353
bow:park,2.1838957415191675,4.837155612762945
bow:12,2.159447047854141,4.818428548292095
bow:peace,2.1328653655157415,4.736303294505297
bow:mean,2.1203697860422936,4.726646794092245
bow:dream,2.0884117964689044,4.65052196745821
bow:tv,2.032254805583079,4.365994222318478
bow:drink,2.0191614125769153,4.502757094000393
bow:bad,2.00650005802109,4.4793853886582715
bow:house,1.956082262363379,4.355738390281545
bow:please,1.9548756238665,4.171177043044825
bow:office,1.930520615544274,4.2985802519151965
bow:news,1.9279297946881688,4.289497436587802
bow:18,1.9209011530279985,4.28490640967839
bow:weather,1.8868456511598741,4.206394440932626
bow:alien,1.8549764945722977,4.091789534253838
bow:politics,1.851902391743328,4.049756484693216
bow:non,1.7842551881448891,3.9879849734259625
bow:shame,1.7538909982391746,3.9018403307378358
bow:mark,1.7290822412967344,3.4453122777395317
bow:win,1.6775207906803942,3.6947530069075096
bow:might,1.6670121433721277,3.648520336080208
bow:reality,1.6473698089085498,3.678735212247098
bow:feel,1.6359866404026473,3.59446510184786
bow:book,1.6108630323295579,3.5736917986317707
bow:min,1.6013136336559672,3.5333101829817566
bow:original,1.5961000754387789,3.1778025605929714
bow:eu,1.5952241412055315,3.1491764180509887
bow:paul,1.5948122260431603,2.7622958040387746
bow:united,1.58706282797989,3.5179003142023104
bow:beauty,1.583576745642714,3.4884095768447065
bow:comes,1.570398368245788,3.4800383763169402
bow:liked,1.5362874160588949,3.379747156589069
bow:seen,1.5047723859717228,3.350378020160441
bow:army,1.4925458894098769,2.9612298249712636
bow:order,1.4898945426427275,2.580573045776799
bow:media,1.4740959350311655,3.1050695044629593
bow:holy,1.4628160848905785,2.900412937141499
bow:dirty,1.4585853609419657,3.238568058702976
bow:call,1.4509593397761473,3.190245430327492
bow:russia,1.4507709003785378,3.221743615610444
bow:face,1.4009835376882536,2.7631827252256658
bow:lie,1.396345267630615,3.100222413300152
bow:best,1.3883508287612387,3.0958190075891747
bow:move,1.3785550265426152,3.057793162325193
bow:watch,1.3621507770933783,2.9952084144051647
bow:pretty,1.3431403455631519,2.9756915996758426
bow:check,1.3032283390752804,2.8334379795949025
bow:52,1.2988630405684376,2.8886033024310787
bow:vote,1.2794271702026527,2.8270892252759467
bow:around,1.2705819011719468,2.82358257024924
bow:2010,1.2512329061780614,2.795498391368187
bow:blue,1.2387488996246243,2.756982021205153
bow:thank,1.231337203788793,2.6827726253982864
bow:kill,1.2190985289420824,2.4363718001330232
bow:problems,1.216704770045277,2.4288082603172296
bow:make,1.2152697267170993,2.6961641980364255
bow:account,1.212365025464844,2.6827509175008775
mnum:space,1.2076832282389884,0.7746496184484153
bow:2018,1.193916684843771,2.6587306409168776
bow:mars,1.18590183862807,2.636147825106479
bow:every,1.184277456703465,2.6069375015015157
bow:came,1.1745305463724514,2.3282555090596753
bow:story,1.1664123092071335,2.5888188153322647
bow:newprofilepic,1.1640434989384805,2.575613600809339
bow:taking,1.1442295061893657,2.5310748735460074
bow:stories,1.139593960682179,1.9738346399001838
bow:london,1.138194503881165,2.5364518913627045
bow:find,1.1295894856280513,2.523575158881817
bow:night,1.1224437773751685,2.4915097311940806
bow:games,1.1209494422491737,2.2369386893813243
bow:days,1.1024931314018156,2.440071006393009
bow:mix,1.0958374831348103,2.183203280337078
bow:said,1.0947783950011158,2.4173648791369633
bow:american,1.0890955888607716,2.359842676598197
bow:crazy,1.0770696488616411,2.374557710398816
bow:plan,1.0716832305800772,2.3896361343845114
bow:forget,1.0596203139585065,2.3386767604621825
bow:question,1.0506775867845823,2.3299719246330386
bow:loves,1.0316460838463617,2.061376539182886
bow:rest,1.0232585704905588,2.265650590004475
bow:uk,0.9990960934308843,2.197601896758542
bow:something,0.9983097560802818,2.2178930933148524
topic:42,0.9920946593128219,0.46237303125941465
bow:waiting,0.9867778720479434,1.980859807064108
bow:instead,0.9838240410282637,2.190041545214605
topic:123,0.9818638547815507,0.6245759282375599
bow:ones,0.9730563340339394,2.167702839842466
bow:football,0.9713286772543817,1.8784502499705105
bow:need,0.9627497895434193,2.0902980910932736
bow:fun,0.9570291692560806,2.1254430300888565
bow:bbc,0.9551315921645388,2.10883679131952
bow:fast,0.947096556592327,1.888158283386581
bow:save,0.9433128732349175,2.1003789176379652
bow:meeting,0.9393326256365011,2.074504706729065
topic:16,0.9389031951448968,0.5858944601375762
bow:water,0.9225579691398409,2.0391820220641788
bow:week,0.9051737808684717,1.9767695181563036
bow:use,0.8960256732385219,1.968315717222601
bow:beautiful,0.8918484584368926,1.9847688239757053
bow:perfect,0.8901581799770752,1.968684238715011
topic:37,0.8850321001969098,0.599400349940657
bow:seem,0.8845033183848798,1.7608813652511561
bow:wait,0.8802726815196529,1.9501450531783402
bow:goals,0.8681317813371825,1.9178048991867136
bow:gt,0.8632234515439736,1.924977127245798
bow:eat,0.8618866775972158,1.9185938026458182
bow:de,0.8528836053493984,1.8907607938306015
user:posting_frequency,0.8483291934652541,0.3352594064285286
bow:wtf,0.8255560053618473,1.8363041924337975
bow:god,0.8233957769205598,1.819375589346139
topic:67,0.8096488289946505,0.6036947289812995
bow:time,0.8036298314486897,1.7543939204078032
bow:son,0.7870801025668168,1.7397647968110226
user:U_TweetNumDay,0.7766681879943544,0.5133441098370943
bow:22,0.7751857040876532,1.7132439184570138
bow:article,0.7706004500865669,1.7100567093499655
bow:follow,0.7630250680625456,1.675710930964196
user:verified,0.7573723505528713,0.18184700714779128
bow:listen,0.7541030537423841,1.656909914889875
topic:32,0.7528454356396128,0.292644407688612
bow:one,0.7489432008363689,1.5972767698648804
topic:95,0.743681852334033,0.34072874464870556
bow:episode,0.7398659035123833,1.6322515047044286
bow:se,0.7359355013808957,1.5815011419366416
bow:needs,0.7324941428739272,1.631172741959484
bow:photo,0.7296419463101805,1.489231575137735
bow:full,0.7275199966957061,1.5756533660177805
bow:birthday,0.723781443937914,1.5613606322644578
bow:law,0.7030082299226312,1.5162890273031382
bow:nice,0.7003958863178308,1.5231836887780368
bow:ko,0.6938719281936891,1.4578099228737653
bow:let,0.6887149311277596,1.5216230079645403
topic:72,0.6833148886609495,0.39964504044976373
bow:photos,0.6832010461001475,1.512496851567726
bow:people,0.6518331252990612,1.4160449862692392
bow:become,0.6498191833309587,1.4318816928389921
bow:spend,0.6371649447587318,1.4083387021403493
bow:amp,0.6344281124995709,1.380446524452596
topic:19,0.6276202417863778,0.5021176440321455
bow:getting,0.6264312576468707,1.3523928131251375
bow:food,0.6246417008418474,1.3588027065043136
topic:78,0.6212540439581763,0.3753159782189695
bow:la,0.6117083561516728,1.3168757245457325
topic:138,0.6087308298960515,0.4486645311331656
topic:176,0.6023389346321684,0.34946873204019036
topic:27,0.6010997498492273,0.4167615979516214
bow:000,0.5916748079722189,1.2509610539560239
mnum:reward,0.587096615177561,0.732723711465354
bow:india,0.5848097029305663,1.2297361537135914
topic:71,0.5827458733973223,0.5475152771541706
topic:92,0.579804028729393,0.6776869843117844
mnum:time,0.5609254701938222,0.818096580752792
bow:even,0.5599606941306894,1.2294062928503942
topic:147,0.5544798978099987,0.6756447532959332
bow:yes,0.5474789290984516,1.2077082878001768
bow:attack,0.5469394435250978,1.1833724131249712
bow:twitter,0.5449365119077825,1.216052877597323
bow:shot,0.5407183782139291,1.1975606327853163
topic:145,0.5406993889194209,0.1665729723055734
bow:support,0.5386349260935144,1.1763885774724376
bow:believe,0.5377519506496417,1.1677321636154283
topic:18,0.5337424898000926,0.27023442832663813
mnum:drives,0.5330003298554977,0.39181170185684083
bow:hey,0.5260549678349272,1.079361452533759
bow:day,0.5250842963586412,1.1361529052685913
bow:whole,0.5248016220467523,1.1529737325793854
bow:state,0.5182094130907895,1.1424616606560263
topic:196,0.516945640450481,0.19139075242074297
bow:party,0.5146469300745438,1.1258783629378364
bow:living,0.5110877720261605,1.1206397606534295
topic:185,0.5106677023118775,0.3065703077417811
topic:162,0.5036314878013904,0.4258928726617472
topic:28,0.5024960922434841,0.4449674627940613
mnum:informal,0.5021511561695717,0.3369727045910536
bow:2011,0.4998636650637242,0.8657892647479623
bow:want,0.4951006737299064,1.0787196175798603
mnum:interrog,0.4936134847758426,0.6277497976534834
topic:5,0.4909876794758949,0.28873722133235413
topic:173,0.49002754851164676,0.590906199902352
topic:177,0.48943845039727824,0.40361408767451346
bow:27,0.4883444549590822,1.0910093750049419
bow:digital,0.48492993695129033,0.9548968948494918
bow:children,0.48252116733096395,1.044858492064673
bow:students,0.47920308928556193,0.9943687428995942
bow:opinion,0.4784159891404253,1.013427778263416
bow:stand,0.47623979032040553,1.017155438211825
bow:review,0.47459462872165004,1.051545606701328
bow:free,0.4732528241992898,1.0291704971239746
topic:154,0.4682296471683052,0.34507617551945324
