feature,abs_coef_mean,abs_coef_std
bow:full,9.039065653294013,20.211965253848955
bow:gets,7.12960744711072,15.942286904628308
bow:alien,6.453838845206661,14.431222373710836
bow:india,6.285072996182035,9.89040986016836
bow:park,5.610341814119165,12.545105673379942
bow:truth,5.566052480815256,7.658372061882346
bow:tv,5.27788089955505,7.233441428627243
bow:media,4.861933959816044,6.662290407224836
bow:please,4.1830988343549,6.257626548386132
bow:un,3.9474680493047325,8.826806897253872
bow:forever,3.8585838742308525,8.628055839664686
bow:mid,3.844440452872254,7.688880905744507
bow:war,3.789326896928931,8.47319253050143
bow:free,3.7710470919919294,5.563236977283499
bow:ha,3.602788724961934,7.292994028016652
bow:myfirsttweet,3.5086710036087587,7.017342007217517
bow:liked,3.321994364575191,4.9233575340572555
bow:thank,3.309296929174329,5.106673154978467
bow:strong,3.252695448248744,7.273248132388342
bow:trust,3.1184207145682232,6.973000700218017
bow:call,3.014919474053223,6.74156489067092
bow:nobody,2.943533765108321,6.581941592848104
bow:people,2.871396707169674,6.42063822760045
bow:york,2.8708802668326454,6.419483431900529
bow:watch,2.869200251177236,6.141070176606661
bow:getting,2.8247402794192733,6.316311283563245
bow:control,2.7350233112832543,6.115698044075924
bow:going,2.6279848019907384,5.876352661087616
bow:opinion,2.516222353802497,5.62644422960691
bow:must,2.427772488322835,5.4286643177936735
bow:seeing,2.399426408221339,5.365280555791074
bow:beauty,2.3503086442463497,5.255449896640208
topic:76,2.342077322292122,1.3623266373576404
bow:politics,2.2994984176569333,5.141834776034106
bow:able,2.2655501935522606,5.06592423922066
bow:iphone,2.2473197379177265,4.494639475835453
bow:app,2.2327298657607364,4.465459731521473
bow:19,2.201016594175548,4.921622724181593
bow:use,2.18322202473183,4.881832857275099
bow:weather,2.1662345940710717,4.843847807554579
bow:game,2.16029662172902,4.830570097749239
bow:football,2.117814065696633,4.235628131393266
bow:hard,2.012615365460717,4.500344769730745
bow:green,2.0104786918373194,4.495567022263098
bow:newprofilepic,1.9928053352090456,4.456048195451681
bow:history,1.9755911820020693,4.4175561787057855
bow:without,1.9546116747901898,4.370644574445576
bow:nice,1.9110568770871734,4.273253086035379
bow:movie,1.8631525469179544,4.166135747360412
bow:study,1.8627989676331795,3.7255979352663595
bow:thinking,1.811503066122412,4.05064399729901
bow:ko,1.7130625450315757,3.830524300399398
topic:123,1.7080078688902005,0.3894333183465343
bow:god,1.7022963283947252,3.806450308138911
bow:dead,1.6930057028501306,3.785675837867702
bow:la,1.691704322946374,3.7827658639383492
mnum:space,1.6870698630544965,1.4600320856446596
bow:se,1.6807343354176432,3.7582362261117828
bow:via,1.6787155284649748,2.500007888887015
bow:june,1.620405307584885,3.6233364188612587
bow:food,1.6182921646031854,3.6186112875080014
