fold,block,delta_F1
1,no_bow,-0.05066216238521515
1,no_topics,-0.05664830841856816
1,no_msg_numeric,-0.025137686860739583
2,no_bow,-0.027413127413127403
2,no_topics,0.08249399332990659
2,no_msg_numeric,-0.0899131274131274
3,no_bow,-0.03270554681353266
3,no_topics,0.08728146853146856
3,no_msg_numeric,0.21875
4,no_bow,0.13057172017840224
4,no_topics,0.1624806501547988
4,no_msg_numeric,0.13057172017840224
5,no_bow,-0.057189542483660094
5,no_topics,0.021854068343631905
5,no_msg_numeric,-0.04627110165624981
