fold,feature,delta_F1
1,HU_TweetNum,0.0
1,HU_TweetPercent_Original,0.0
1,HU_TweetPercent_Retweet,0.0
1,HU_AverageInterval_days,0.08543159626750951
1,U_AccountAge_days,0.029704042087942972
1,U_ListedNum,0.0
1,U_ProfileUrl,0.0029376029376029233
1,U_FollowerNumDay,0.0
1,U_FolloweeNumDay,0.0
1,U_TweetNumDay,0.0
1,U_ListedNumDay,0.0
1,total_posts,0.0
1,followers_count,0.0
1,following_count,0.0
1,verified,0.05594405594405594
1,posting_frequency,0.0
1,retweet_count,0.05594405594405594
1,follower_to_followee_ratio,0.0029376029376029233
1,retweet_ratio,0.05853605853605848
2,HU_TweetNum,0.0
2,HU_TweetPercent_Original,0.0
2,HU_TweetPercent_Retweet,0.0
2,HU_AverageInterval_days,0.02758472758472763
2,U_AccountAge_days,0.02758472758472763
2,U_ListedNum,0.054867561059511516
2,U_ProfileUrl,0.02758472758472763
2,U_FollowerNumDay,0.0
2,U_FolloweeNumDay,0.0
2,U_TweetNumDay,0.0
2,U_ListedNumDay,0.08318318318318318
2,total_posts,0.02758472758472763
2,followers_count,0.02758472758472763
2,following_count,0.02758472758472763
2,verified,0.054867561059511516
2,posting_frequency,0.0
2,retweet_count,0.0
2,follower_to_followee_ratio,-0.028013728013727923
2,retweet_ratio,-0.02991452991452992
3,HU_TweetNum,-0.03453583453583453
3,HU_TweetPercent_Original,-0.03453583453583453
3,HU_TweetPercent_Retweet,-0.03453583453583453
3,HU_AverageInterval_days,0.0
3,U_AccountAge_days,-0.03453583453583453
3,U_ListedNum,-0.03453583453583453
3,U_ProfileUrl,-0.03453583453583453
3,U_FollowerNumDay,-0.03453583453583453
3,U_FolloweeNumDay,0.013628074053605999
3,U_TweetNumDay,0.0
3,U_ListedNumDay,-0.03453583453583453
3,total_posts,-0.03453583453583453
3,followers_count,-0.03453583453583453
3,following_count,0.013628074053605999
3,verified,-0.03453583453583453
3,posting_frequency,-0.03453583453583453
3,retweet_count,-0.03453583453583453
3,follower_to_followee_ratio,0.0
3,retweet_ratio,-0.03453583453583453
4,HU_TweetNum,0.0
4,HU_TweetPercent_Original,0.0
4,HU_TweetPercent_Retweet,0.0
4,HU_AverageInterval_days,-0.031112313139260328
4,U_AccountAge_days,0.02553599527930772
4,U_ListedNum,-0.02583041958041954
4,U_ProfileUrl,0.0
4,U_FollowerNumDay,0.0
4,U_FolloweeNumDay,0.0
4,U_TweetNumDay,0.0
4,U_ListedNumDay,0.0
4,total_posts,0.02553599527930772
4,followers_count,0.0
4,following_count,0.0
4,verified,-0.052070433436532504
4,posting_frequency,0.0
4,retweet_count,0.0
4,follower_to_followee_ratio,0.0
4,retweet_ratio,0.02553599527930772
5,HU_TweetNum,0.028244631185807778
5,HU_TweetPercent_Original,0.0
5,HU_TweetPercent_Retweet,0.0
5,HU_AverageInterval_days,0.05592605592605593
5,U_AccountAge_days,0.028244631185807778
5,U_ListedNum,-0.02894491129785237
5,U_ProfileUrl,0.0
5,U_FollowerNumDay,0.028244631185807778
5,U_FolloweeNumDay,0.0
5,U_TweetNumDay,0.0
5,U_ListedNumDay,-0.02894491129785237
5,total_posts,0.0
5,followers_count,0.028244631185807778
5,following_count,0.028244631185807778
5,verified,0.0
5,posting_frequency,0.0
5,retweet_count,-0.0014040014040013205
5,follower_to_followee_ratio,0.0
5,retweet_ratio,-0.02894491129785237
