feature,abs_coef
bow:gets,52.90740913909739
bow:call,34.39341180622789
bow:modi,26.890811139569085
bow:bbc,25.52658613708574
bow:come,25.047027079286078
bow:days,17.762998087793854
bow:evil,16.70500073101726
bow:students,15.975069732470276
bow:media,13.970374882506075
bow:check url,13.491176039002351
bow:tax,12.576331602370475
bow:woman,12.130207773181125
bow:truth,12.095522631618879
bow:free,11.93585834435768
bow:url one,11.734052952201544
bow:contest,11.696358733207651
bow:za,11.448226932002239
bow:india,11.427627295880662
bow:product,10.745544300074986
bow:graffiti,10.612192098590393
bow:da,10.529126861579547
bow:discover,9.834293679384418
bow:de la,9.479550893953308
bow:flashback,9.086003455770589
bow:100,9.043348807488108
bow:thank usr,8.758615829696735
bow:run,8.717374209546247
bow:election,8.504956852022207
bow:19 url,8.217806727612327
bow:done,8.003526525746627
bow:women,7.636879803156427
bow:pod,7.402570266480171
bow:looks,6.926235107214183
bow:things,6.90542737713332
bow:petition,6.903483746669053
bow:sponsored url,6.799191241364387
bow:eid,6.633575302680932
bow:snow,6.335066030259303
bow:turkey,6.1872932215456204
bow:sign petition,6.068686575438699
bow:resist,6.057545415754448
bow:seem,5.8387386529806236
bow:mind,5.763974050695708
bow:pour,5.514344979424485
bow:hai,5.432888872680111
bow:sponsored,5.110624571264542
bow:beijing,5.005295065355484
bow:217,4.409164050613059
bow:los,4.010331459632753
bow:trump,3.728252043357615
bow:usr usr,3.450610076457754
bow:happy new,3.308876068949131
bow:kenya,3.1764693317459836
bow:ki,3.0818800245709443
bow:tass,3.0707291894684783
bow:lake,3.0236240911944208
bow:poem,2.9330330704001355
bow:nous,2.8832120767078115
bow:yet,2.878658275603863
bow:url newprofilepic,2.690269963297365
bow:check,2.6804825083925636
bow:prince,2.6681720897997843
bow:good,2.544042730625347
bow:url bbc,2.4631470286313615
bow:football,2.4197096255723043
bow:queens,2.387087165120331
bow:russian,2.361720403982429
bow:morning,2.17423700709906
bow:construction,2.0305947075122663
bow:url king,1.9395227737005114
bow:newprofilepic,1.905356985018324
bow:shall,1.7117279754956585
bow:en,1.5534205943990484
bow:land,1.540436916406458
bow:birthday,1.452706565066347
bow:moses,1.4146167917928245
topic:138,1.2368213452119674
topic:37,1.2233248015990852
bow:gt,1.2092160104004428
topic:144,1.1938620882806288
topic:26,1.1329515792930918
topic:54,1.126449930831576
bow:best time,1.112405871583509
topic:188,1.0769830402512044
user:posting_frequency,1.0676183812042521
topic:145,1.062858586423919
mnum:nonflu,1.041483310298599
topic:65,1.0303314224947313
topic:192,1.0295530659296062
user:U_TweetNumDay,1.020293327867477
topic:41,1.0164903051529
topic:133,1.0109128293276748
topic:85,1.0002456590470041
topic:109,0.9869417725622673
user:HU_AverageInterval_days,0.9719896076368232
topic:45,0.9340833160034784
topic:95,0.909676183873629
topic:50,0.9058759757329005
topic:101,0.8541203837854159
user:verified,0.849844636484656
