fold,feature,delta_F1
1,HU_TweetNum,0.0
1,HU_TweetPercent_Original,0.0
1,HU_TweetPercent_Retweet,0.0
1,HU_AverageInterval_days,0.0
1,U_AccountAge_days,-0.24141879625750595
1,U_ListedNum,0.0
1,U_ProfileUrl,0.0
1,U_FollowerNumDay,0.0
1,U_FolloweeNumDay,0.0
1,U_TweetNumDay,0.0
1,U_ListedNumDay,0.0
1,total_posts,0.001005446166736479
1,followers_count,0.0
1,following_count,-0.031822836661546394
1,verified,0.0
1,posting_frequency,0.0
1,retweet_count,0.031085660070479748
1,follower_to_followee_ratio,0.0
1,retweet_ratio,0.0
