feature,perm_drop_mean,perm_drop_std
mnum:WC,0.05627888013337242,0.06679353320194525
mnum:social,0.03227155569578525,0.03516594227122442
mnum:power,0.030163090415658622,0.030485347765174343
mnum:netspeak,0.02693846555915521,0.03701165045698171
mnum:drives,0.02611414022344468,0.051182178797296474
mnum:cogproc,0.02529927798469641,0.04538212838868101
mnum:relativ,0.022605270038038482,0.03983718205376034
mnum:number,0.020219998472304945,0.035647871123082646
mnum:informal,0.019849370024073942,0.04831727423129799
mnum:posemo,0.01865982244180241,0.03412257252436657
mnum:compare,0.018510359835443257,0.017052288722057916
mnum:ingest,0.0184217135129914,0.02794275352186427
mnum:verb,0.017861181382250534,0.04518560613399736
mnum:Analytic,0.014135333949506534,0.03389420656733636
mnum:discrep,0.013547712947045553,0.035752064020715756
mnum:function,0.01282249401597696,0.034384359829040936
mnum:percept,0.012699483760875496,0.017505340977944032
mnum:male,0.012699483760875496,0.017505340977944032
mnum:anger,0.012610837438423662,0.028198689765514626
mnum:relig,0.01261083743842364,0.02819868976551457
mnum:quant,0.011683569979716025,0.01599876029638025
mnum:Clout,0.0071550953583621405,0.036798903659489256
mnum:space,0.007129313150382288,0.05300217935238387
mnum:focuspast,0.0069184455391351875,0.033714200336971895
mnum:friend,0.0069184455391351875,0.01547011452413646
mnum:motion,0.00668593375260913,0.034021809416504255
mnum:certain,0.005934511735728787,0.024272257728990554
mnum:hear,0.005872693905148263,0.01313174278296022
mnum:adverb,0.005810876074567761,0.012993513911560652
mnum:differ,0.005810876074567761,0.012993513911560652
mnum:pronoun,0.005810876074567761,0.012993513911560652
mnum:risk,0.005781038221740309,0.012926794444335832
mnum:see,0.005781038221740309,0.012926794444335832
mnum:tentat,0.005781038221740309,0.012926794444335832
mnum:ipron,0.005781038221740309,0.012926794444335832
mnum:assent,0.005781038221740309,0.012926794444335832
mnum:anx,0.005781038221740309,0.012926794444335832
mnum:feel,0.005781038221740309,0.012926794444335832
mnum:Tone,0.002179773373256333,0.05221037765630999
mnum:Dic,0.0006289486502795594,0.06242738374037275
mnum:reward,0.00012363566116102565,0.057587133269701704
mnum:auxverb,0.0,0.0
mnum:shehe,0.0,0.0
mnum:sexual,0.0,0.0
mnum:ppron,0.0,0.0
mnum:AllPunc,0.0,0.0
mnum:Apostro,0.0,0.0
mnum:Colon,0.0,0.0
mnum:Exclam,0.0,0.0
mnum:negate,0.0,0.0
mnum:home,0.0,0.0
mnum:health,0.0,0.0
mnum:SemiC,0.0,0.0
mnum:Quote,0.0,0.0
mnum:QMark,0.0,0.0
mnum:Comma,0.0,0.0
mnum:Dash,0.0,0.0
mnum:Parenth,0.0,0.0
mnum:OtherP,0.0,0.0
mnum:Period,0.0,0.0
mnum:article,0.0,0.0
mnum:you,0.0,0.0
mnum:we,0.0,0.0
mnum:swear,0.0,0.0
mnum:sad,0.0,0.0
mnum:they,0.0,0.0
mnum:nonflu,0.0,0.0
mnum:i,0.0,0.0
mnum:interrog,0.0,0.0
mnum:death,0.0,0.0
mnum:family,0.0,0.0
mnum:conj,0.0,0.0
mnum:body,0.0,0.0
mnum:female,0.0,0.0
mnum:filler,0.0,0.0
mnum:insight,0.0,0.0
mnum:bio,-2.0229802913174223e-05,0.035723787760596516
mnum:negemo,-0.0008132398474608671,0.022412997087529855
mnum:leisure,-0.0008654496281271129,0.022324497666076002
mnum:cause,-0.0009571053115350669,0.02216976700948408
mnum:achieve,-0.0010093150922013128,0.030435613924615308
mnum:affiliation,-0.004723536412913487,0.039223397846629454
mnum:Sixltr,-0.0056323604710701415,0.012594340887095575
mnum:prep,-0.0056323604710701415,0.012594340887095575
mnum:affect,-0.005739450194072959,0.03799667868566926
mnum:Authentic,-0.006561852435044891,0.04942758996125139
mnum:focusfuture,-0.0067381435332753755,0.015066946982554357
mnum:adj,-0.0070844638795957374,0.04045606784004328
mnum:work,-0.007216764347563265,0.026198040613071214
mnum:WPS,-0.008849100366197104,0.08777322276101417
mnum:money,-0.013027640422131026,0.017848081227425063
mnum:time,-0.024166315192946097,0.026002829694373068
mnum:focuspresent,-0.036871208792951894,0.0578122036152669
