fold,feature,delta_F1
1,HU_TweetNum,0.0
1,HU_TweetPercent_Original,0.0
1,HU_TweetPercent_Retweet,0.0
1,HU_AverageInterval_days,-0.0322805440035967
1,U_AccountAge_days,-0.020958120297272176
1,U_ListedNum,0.0
1,U_ProfileUrl,0.0
1,U_FollowerNumDay,0.0
1,U_FolloweeNumDay,0.0
1,U_TweetNumDay,0.0
1,U_ListedNumDay,0.0
1,total_posts,-0.0322805440035967
1,followers_count,0.0
1,following_count,-0.0813876868607396
1,verified,0.0
1,posting_frequency,0.0
1,retweet_count,-0.025137686860739583
1,follower_to_followee_ratio,0.0
1,retweet_ratio,0.0
2,HU_TweetNum,0.0
2,HU_TweetPercent_Original,0.0
2,HU_TweetPercent_Retweet,0.0
2,HU_AverageInterval_days,0.0
2,U_AccountAge_days,-0.011770643366473488
2,U_ListedNum,0.0
2,U_ProfileUrl,0.0
2,U_FollowerNumDay,0.0
2,U_FolloweeNumDay,0.0
2,U_TweetNumDay,0.0
2,U_ListedNumDay,0.0
2,total_posts,0.0
2,followers_count,0.0
2,following_count,0.055598455598455554
2,verified,0.0
2,posting_frequency,0.0
2,retweet_count,0.0
2,follower_to_followee_ratio,0.0
2,retweet_ratio,0.0
3,HU_TweetNum,0.0
3,HU_TweetPercent_Original,0.0
3,HU_TweetPercent_Retweet,0.0
3,HU_AverageInterval_days,0.0
3,U_AccountAge_days,-0.17532467532467544
3,U_ListedNum,0.0
3,U_ProfileUrl,0.0
3,U_FollowerNumDay,0.0
3,U_FolloweeNumDay,0.0
3,U_TweetNumDay,0.0
3,U_ListedNumDay,0.0
3,total_posts,-0.05064935064935072
3,followers_count,0.0
3,following_count,-0.09297739297739305
3,verified,0.0
3,posting_frequency,0.0
3,retweet_count,0.0
3,follower_to_followee_ratio,0.0
3,retweet_ratio,0.0
4,HU_TweetNum,0.0
4,HU_TweetPercent_Original,0.0
4,HU_TweetPercent_Retweet,0.0
4,HU_AverageInterval_days,-0.01698841698841702
4,U_AccountAge_days,0.0
4,U_ListedNum,0.0
4,U_ProfileUrl,0.0
4,U_FollowerNumDay,0.0
4,U_FolloweeNumDay,0.0
4,U_TweetNumDay,0.0
4,U_ListedNumDay,0.0
4,total_posts,-0.0755244755244755
4,followers_count,0.006249999999999978
4,following_count,-0.03303929430633512
4,verified,0.0
4,posting_frequency,0.0
4,retweet_count,-0.01698841698841702
4,follower_to_followee_ratio,-0.02486231313926035
4,retweet_ratio,0.0
5,HU_TweetNum,0.0
5,HU_TweetPercent_Original,0.0
5,HU_TweetPercent_Retweet,0.0
5,HU_AverageInterval_days,0.0
5,U_AccountAge_days,-0.046508794596309855
5,U_ListedNum,0.0
5,U_ProfileUrl,0.0
5,U_FollowerNumDay,0.0
5,U_FolloweeNumDay,0.0
5,U_TweetNumDay,0.0
5,U_ListedNumDay,0.0
5,total_posts,0.0
5,followers_count,0.0
5,following_count,-0.08884843933655473
5,verified,0.0
5,posting_frequency,0.0
5,retweet_count,-0.027250635803267365
5,follower_to_followee_ratio,0.0
5,retweet_ratio,0.0
