feature,imp_mean,imp_std
total_posts,0.07449176461560365,0.04003682853889998
retweet_count,0.05129734358546275,0.04136719870299191
U_AccountAge_days,0.048118487092248016,0.07355793086130358
following_count,0.03377757563075849,0.03212280380727428
HU_AverageInterval_days,0.015123710495174225,0.03622789257129856
followers_count,0.006933776838234085,0.027753998332411517
posting_frequency,0.0037293469708890525,0.008877621492602416
U_ListedNumDay,0.0,0.0
HU_TweetPercent_Retweet,0.0,0.0
HU_TweetPercent_Original,0.0,0.0
U_ListedNum,0.0,0.0
U_ProfileUrl,0.0,0.0
U_TweetNumDay,0.0,0.0
U_FolloweeNumDay,0.0,0.0
U_FollowerNumDay,0.0,0.0
follower_to_followee_ratio,0.0,0.0
verified,0.0,0.0
retweet_ratio,0.0,0.0
HU_TweetNum,-0.0038709677419355047,0.01577653223568452
