feature,perm_drop_mean,perm_drop_std
U_AccountAge_days,0.13067877192794533,0.0771166655928286
following_count,0.04081875438963589,0.048871761975947656
total_posts,0.02787219676641072,0.04397842201521021
retweet_count,0.0209077562484892,0.030556426711280636
HU_AverageInterval_days,0.004919940500333846,0.007549198667309509
followers_count,0.0012996281950554468,0.003155228700926853
posting_frequency,0.0007458693941778105,0.0016678146677181701
U_ListedNumDay,0.0,0.0
HU_TweetPercent_Retweet,0.0,0.0
HU_TweetPercent_Original,0.0,0.0
U_ListedNum,0.0,0.0
U_ProfileUrl,0.0,0.0
U_TweetNumDay,0.0,0.0
U_FolloweeNumDay,0.0,0.0
U_FollowerNumDay,0.0,0.0
follower_to_followee_ratio,0.0,0.0
verified,0.0,0.0
retweet_ratio,0.0,0.0
HU_TweetNum,-0.000774193548387101,0.0017311494019353307
