fold,family,P_macro,R_macro,F1_macro
1,Users,0.5811688311688312,0.5773993808049536,0.5751376868607396
1,Message,0.5811688311688312,0.5773993808049536,0.5751376868607396
1,Fusion,0.58125,0.5804953560371517,0.5804195804195804
2,Users,0.6944444444444444,0.695046439628483,0.6942084942084943
2,Message,0.5166666666666666,0.5092879256965944,0.45696539485359355
2,Fusion,0.7564935064935066,0.7445820433436532,0.7450826121164438
3,Users,0.7490909090909091,0.7120743034055728,0.7077922077922079
3,Message,0.5166666666666666,0.5092879256965944,0.45696539485359355
3,Fusion,0.5982142857142857,0.5681114551083591,0.5404255319148936
4,Users,0.6120401337792643,0.6037151702786377,0.6
4,Message,0.5518394648829431,0.5479876160990712,0.5428571428571429
4,Fusion,0.5811688311688312,0.5773993808049536,0.5751376868607396
5,Users,0.6546052631578947,0.6546052631578947,0.6546052631578947
5,Message,0.38111888111888115,0.3881578947368421,0.38183347350714886
5,Fusion,0.6306818181818181,0.6134868421052632,0.6080964685615848
