username,text,label
SpurlingLaurie,millie bobby brown fuck drake seaweed florence neil walker arrgggghhh illinois school wow great idea nice concept ios12 like justin bieber u citizen cares edmonton snow day mid september couples costume halloween ohio state exist got pre order iphonexsmax URL childish gambino gay URL iphone xs iphone xs max pre order 2am iphonexs pre order iphonexsmax pre order 2am wait finally september 2018 URL nyprimary andrew nba rip lorenzen wright bostongasexplosion east coast danger whathappened boston bb20 julie chan moonves nyprimaries voted andrew florencehurricane god trust thing URL feels great back tennessee URL,1
BiGWIG1001,tytforstreamys yes please USR putting videos inside videos USR know ads youtube videos getting scarce try watch wen c r playing 24 min ads USR oh website error messages bigger problems USR listen npr indivisible cut khurram forgiving valid different point view bombing syria someone USR needs call bill received children healthcare batesville dm info USR like see tyt crew reaction ge recent interview npr lack workers high tech manu jobs reception familiar gimme gimme crazy would go good right really bad episode kick rest season hope rest better walkingdead talkingdead better say something crazy amount commercials walkingdead good differential two doctors support vaccines show talking importance vaccinations msnbcchat flew 836m brilliant game jetpackjoyride iphone dmdm URL URL got score 205 ninjump deluxe game backflip studios got score 730 ninjump deluxe game backflip studios wfgyyf got 7 830 points escaping demon monkeys beat brjd URL templerun URL never get dictionary understand show description upisgreat whowritesthese URL got score 482 ninjump deluxe game backflip studios URL lot fuss 920p anything noticeable beta gameplay USR titanfall got score 572 ninjump deluxe game backflip studios URL holy shit anyone see premo car comms breakingbad episode must one jaguar merc lincoln volvo hey USR get link see trailer something def watch xbox red ringed months ago able get clos fix bought ps3 huge fan USR USR chance us lowly ghouls get see vip trailer los2 time soon hey USR long time huge fan putting together home improvement basket silent auction proceeds bgca wanna help hey USR amazon saying los2 next gen consoles true wait los2 make new standard hey USR throw surfer lp dig download URL need 3shitstothewind ringer hey fatmike_of_nofx stay vine street show want get stabbed cousin got stabbed true story hey fatmike_of_nofx play 3 shits wind tonight indy would love hear shit live USR legs spread wider needed louise inside heard 100x still makes laugh USR give stevens game USR ther limit mny phantoms c running around screen thinking every1 starts playn 24hrdarksouls USR ther limit mny phantoms c running around screen thinking every1 starts playn 24hrdarksouls USR guys funny listen painful watch lol 24hrdarksouls USR say cuz one else mentioning much love nofx records USR war errorism hardcore catchy satire decom poseur rocks nubs hilarious sayin USR congrats top 25 used lp cover album also excited new backstage passport new album USR hey dave way get patch let us start new game without switching profiles deleting progress thanks USR thinking hardcore cover album cover authority either law court 22 USR thank god monday USR seem working 360 USR mr cox heres patch idea 110 completion magic drain 2nd tier simple enough right leme USR lack security USR go ahead release xbox seems unfair xbox users wait ps3 users bc systems USR shoot USR hey mike chance bringing back fat wreck fatcast let keep fatcast USR think some1 mentioned b4 gabriel belmont soul calibur 5 lets make happen USR personally loved game 1st dlc meh waiting 2nd seems like forever abos USR psn back walking announcement resurrection yet c mon man anything USR hmmm nothing wrong xbox live remember psn got reverie like 4 weeks xbox users USR dave chance seeing next castlevania year e3 know might soon hope USR man whoever charge making sure info gets games needs fired lol seriously USR think reverie able finish yet agree every1 damn blade wall lol USR USR got itunes giftcard easter suggestions new awesome records USR nevermind question figured thank god internets USR giving reverie wait resurrection get time shame waited long 6 clock yet USR common david get eta reverie xbla us waiting long time USR chance eta work credit checks signing leases another fun filled day windy,1
antisciencewalk,snowflake try start argument gun rights block respond know standyourground means map showing nuclear reactors united states ticking time bombs dwarf fukushima wakeupamerica scienceislies marchagainstscience URL american people deserve truth political machines hiding truth behind vaccines lying environment hurting children makeamericagreatagain marchagainstscience scienceislies ignorant keep pushing views oppressed scienceislies scienceishate marchagainstscience makeamericagreatagain URL,1
SpunkMasterSex,USR could tomorrow kill masters start words resonate eternity USR indy show 2 sick never seen artists audience audience power people,0
Sarahwe58753866,URL,0
tiger569ca,USR thought see URL USR URL USR would wear URL protect mental health anxiety ridden bipolar activist URL via USR USR thank never giving lt 3 URL USR URL USR lt 3 URL USR love much matter lt 3 ray ban sunglasses URL nfl nhl mlb jerseys URL 86 outstanding oakley sunglasses 16 URL ray ban sunglasses URL 86 outstanding tiffany jewelry URL nfl jersey URL 86 outstanding ugg boots URL christian louboutin shoes URL 86 outstanding michael kors mk bags URL louis vuittfor lv URL 86 outstanding christian louboutin shoe URL ugg shoes URL 86 outstanding ray ban sunglasses URL nfl nhl mlb jerseys URL 85 outstanding oakley sunglasses 16 URL ray ban sunglasses URL 85 outstanding tiffany jewelry URL nfl jersey URL 85 outstanding ugg boots URL christian louboutin shoes URL 85 outstanding michael kors mk bags URL louis vuittfor lv URL 85 outstanding christian louboutin shoe URL ugg shoes URL 85 outstanding oikers good kove tsykor hsll cowerjerb USR mybfacorite go wings let get big win tonight boys lightthelamp USR USR feeling good today positiveenergyday time flies URL mayweather getting ko alvarezwins USR spending time pets exercise 2 best ways battle depression well shit hair beard starting look lot like daniel brian look weird wwe since edge left bring back capacity wwe rocking beard semi long hair proud ahhhhh weekend seeing lifehouse tomorrow night sweet boringbutpeacefulweekend USR cajooblies slang large female breasts new word positivethoughts time quit smoking nonsmoker keeptrying love URL justin bieber cute little girl cant wait til shes age belieber 259 love wings go wingshawksrace babygingers day needs end come endofday,1
Song_TradeCoin,cpc nice chart come back zcl thanks god btc cpc cpc URL cpc qua USR good price hold long term btc aby aby URL aby qua USR bitcoin normal bcs altcoin btc zcl zcl URL zcl qua USR URL adt xel cheap price nice chart URL URL channel_crypto info analytics signal cryptocurrency free 1 URL 2 URL anhhosomoi URL URL,0
knightvision93,infowars banned several platforms understand lot theories either partially completely wrong hateful one way govt trying hide truth something going meeting dan gray journalism projects next semester seeing collab multi media stuff know funny look someone rose colored glasses red flags look like flags wanda owl cant sleep past keeps whispering tell go sleep good sleep tonight listen roommate brought home cake sweet week rootbeer float milkshake today great day fat foodbaby goodlife small town streets big sidewalks lydia peoria hear freaking thor landed nearby building swear thunder really thunderously loud working marketing strategies summer get back school hit ground running wonderful night town good friends mediocre pizza amazing view brown recluse spider say hermit crab nothing shut ins different species talk im done,1
jargieboy,tickets aldo mcgregor arrived wait two weekes getting ready vegas aldo mcgregor woooooo cribbage pro game results via USR cribbage URL hey know strawman,1
ZiyadAlli2,URL n oromiya media network tv ziyad alli ziyad alli,0
