feature,gain
bow:good,6.420271396636963
topic:146,4.5324602127075195
topic:156,4.092781066894531
topic:105,3.6570754051208496
topic:7,3.309192657470703
bow:one,3.2126541137695312
topic:197,2.9259252548217773
mnum:WC,2.5974795818328857
bow:today,2.3200602531433105
topic:129,2.103304147720337
bow:go,2.0563859939575195
topic:68,1.861283779144287
mnum:friend,1.8390274047851562
mnum:space,1.8217326402664185
mnum:sad,1.674843430519104
mnum:motion,1.6463030576705933
bow:video,1.585693359375
topic:99,1.534890055656433
bow:news,1.524280071258545
mnum:relig,1.4814691543579102
topic:75,1.4537272453308105
topic:37,1.4380487203598022
mnum:focuspast,1.426872968673706
mnum:auxverb,1.3892747163772583
mnum:discrep,1.3587113618850708
mnum:body,1.3053348064422607
mnum:focuspresent,1.2892818450927734
mnum:adverb,1.276370644569397
mnum:assent,1.2589881420135498
mnum:compare,1.2155886888504028
mnum:reward,1.1958333253860474
mnum:prep,1.1595112085342407
mnum:Analytic,1.1587390899658203
topic:185,1.1570864915847778
topic:40,1.1492798328399658
mnum:function,1.1136881113052368
bow:via,1.0942506790161133
bow:get,1.0188965797424316
mnum:drives,1.0185035467147827
user:posting_frequency,0.9833027124404907
bow:new,0.9724970459938049
mnum:cogproc,0.9486719369888306
topic:154,0.9017632603645325
mnum:Clout,0.8955032229423523
mnum:insight,0.8931957483291626
mnum:anger,0.8903851509094238
topic:127,0.8436902165412903
mnum:affect,0.8412275314331055
mnum:see,0.8330375552177429
mnum:WPS,0.8269163966178894
mnum:social,0.8161664605140686
mnum:Dic,0.8086428642272949
mnum:work,0.7984474897384644
mnum:number,0.788367748260498
mnum:you,0.7842502593994141
topic:92,0.7804414629936218
topic:1,0.7627019882202148
user:U_AccountAge_days,0.7569509744644165
mnum:adj,0.7388607859611511
mnum:male,0.727836012840271
topic:39,0.7251610159873962
mnum:informal,0.7183189392089844
mnum:power,0.7173461318016052
topic:181,0.7126256227493286
mnum:tentat,0.7075032591819763
mnum:quant,0.6971197128295898
topic:67,0.6921675205230713
user:retweet_count,0.6716280579566956
mnum:time,0.6674320101737976
mnum:Authentic,0.6614604592323303
topic:107,0.6580047011375427
topic:76,0.6440474390983582
topic:126,0.6334419846534729
topic:196,0.6183568835258484
mnum:certain,0.60992830991745
mnum:bio,0.6021211743354797
mnum:negemo,0.5933083295822144
mnum:leisure,0.5729877948760986
mnum:percept,0.5682182312011719
user:following_count,0.556029736995697
user:HU_AverageInterval_days,0.5537963509559631
user:followers_count,0.5488176941871643
topic:199,0.5261849761009216
mnum:verb,0.5210357904434204
mnum:focusfuture,0.5051942467689514
mnum:Sixltr,0.4866877794265747
topic:111,0.4824923574924469
mnum:health,0.47864165902137756
topic:48,0.4625990390777588
mnum:feel,0.4538935124874115
topic:18,0.4510296583175659
user:U_FolloweeNumDay,0.4439273178577423
mnum:differ,0.441878080368042
user:HU_TweetPercent_Retweet,0.43242043256759644
topic:70,0.41033807396888733
mnum:ipron,0.40521934628486633
mnum:risk,0.37071600556373596
topic:15,0.32701146602630615
topic:149,0.3143789768218994
mnum:relativ,0.3091267943382263
