fold,feature,delta_F1
1,HU_TweetNum,-0.027456027456027376
1,HU_TweetPercent_Retweet,-0.028832016448115505
1,HU_AverageInterval_days,0.0
1,U_AccountAge_days,-0.05853605853605848
1,U_FolloweeNumDay,0.0
1,followers_count,-0.055598455598455554
1,following_count,-0.055598455598455554
1,posting_frequency,0.028099528099528204
1,retweet_count,0.0
1,retweet_ratio,0.055598455598455665
2,HU_TweetNum,-0.027282833474783885
2,HU_TweetPercent_Retweet,0.0
2,HU_AverageInterval_days,-0.1384797446716951
2,U_AccountAge_days,-0.08288128907323944
2,U_FolloweeNumDay,-0.054867561059511516
2,followers_count,-0.1384797446716951
2,following_count,-0.054867561059511516
2,posting_frequency,-0.054867561059511516
2,retweet_count,-0.1104231166150671
2,retweet_ratio,-0.1104231166150671
3,HU_TweetNum,0.0
3,HU_TweetPercent_Retweet,-0.03453583453583453
3,HU_AverageInterval_days,-0.05844155844155852
3,U_AccountAge_days,-0.07075533162489678
3,U_FolloweeNumDay,0.0
3,followers_count,0.024723424723424703
3,following_count,-0.03453583453583453
3,posting_frequency,0.0
3,retweet_count,0.0
3,retweet_ratio,0.05844155844155852
4,HU_TweetNum,-0.028099528099528204
4,HU_TweetPercent_Retweet,-0.001203990368077168
4,HU_AverageInterval_days,0.054523563811489484
4,U_AccountAge_days,-0.028099528099528204
4,U_FolloweeNumDay,-0.001203990368077168
4,followers_count,-0.11265909872721025
4,following_count,-0.028099528099528204
4,posting_frequency,-0.001203990368077168
4,retweet_count,0.0
4,retweet_ratio,0.0
5,HU_TweetNum,0.03552971576227382
5,HU_TweetPercent_Retweet,0.022220952453510634
5,HU_AverageInterval_days,0.010648863505475448
5,U_AccountAge_days,-0.008329933360533115
5,U_FolloweeNumDay,0.0695218660286041
5,followers_count,0.10219638242894047
5,following_count,0.03552971576227382
5,posting_frequency,0.04386304909560723
5,retweet_count,-0.03731410708154892
5,retweet_ratio,0.03552971576227382
