feature,gain
bow:students,6.206487655639648
bow:long,6.015994071960449
bow:nothing,5.632370471954346
bow:gets,5.541627883911133
bow:getting,4.667859077453613
bow:2019,4.576729774475098
bow:sad,4.477201461791992
topic:200,4.244999885559082
topic:38,4.163090705871582
bow:water,3.9599509239196777
bow:things,3.9228169918060303
topic:41,3.511655807495117
bow:found,3.082937717437744
bow:wrong,2.986046075820923
bow:next,2.702714681625366
bow:sign,2.6909022331237793
bow:yet,2.6767425537109375
topic:7,2.67183780670166
topic:189,2.587975025177002
mnum:leisure,2.4058830738067627
mnum:conj,2.3443782329559326
bow:truth,2.2241945266723633
bow:really,2.150691032409668
bow:night,2.14658522605896
topic:3,2.109056234359741
topic:78,2.096299648284912
topic:196,1.9252228736877441
topic:192,1.864888310432434
bow:taking,1.833654522895813
bow:everyone,1.7828927040100098
bow:man,1.7590131759643555
topic:61,1.6629277467727661
topic:179,1.6592721939086914
bow:take,1.6590995788574219
mnum:negate,1.6582392454147339
mnum:space,1.6221259832382202
bow:mr,1.600167989730835
topic:177,1.5819082260131836
bow:free,1.5719705820083618
mnum:netspeak,1.5010604858398438
bow:first,1.4727853536605835
topic:75,1.3910702466964722
mnum:function,1.3678535223007202
bow:know,1.35499107837677
bow:home,1.3507792949676514
mnum:female,1.3221055269241333
bow:another,1.3048224449157715
mnum:quant,1.2974588871002197
topic:34,1.2749881744384766
topic:108,1.2642431259155273
topic:105,1.2372113466262817
topic:146,1.2348538637161255
mnum:adverb,1.2302030324935913
topic:135,1.2127007246017456
mnum:auxverb,1.2035995721817017
topic:45,1.203178882598877
topic:15,1.1886438131332397
bow:amp,1.1256041526794434
topic:185,1.104136347770691
topic:129,1.0939823389053345
topic:155,1.0605584383010864
mnum:focusfuture,1.0571767091751099
mnum:discrep,1.0338844060897827
topic:72,1.0204094648361206
bow:show,1.0188922882080078
bow:much,1.015420913696289
mnum:ppron,0.998725175857544
bow:happy,0.9958006143569946
mnum:risk,0.953106701374054
mnum:see,0.950118899345398
topic:126,0.9302750825881958
topic:159,0.9212125539779663
topic:89,0.9131188988685608
mnum:assent,0.901248037815094
topic:199,0.890527069568634
mnum:prep,0.8717363476753235
topic:27,0.8696491718292236
topic:25,0.8623329401016235
mnum:relig,0.8593267202377319
topic:91,0.8439731597900391
topic:40,0.8302332162857056
mnum:Clout,0.8282735347747803
topic:133,0.8204852342605591
mnum:Analytic,0.8181915879249573
mnum:power,0.8164078593254089
mnum:relativ,0.8037384152412415
topic:18,0.7903537750244141
bow:let,0.7852450013160706
topic:87,0.7792895436286926
mnum:health,0.772201418876648
topic:92,0.7674510478973389
topic:50,0.753282368183136
mnum:drives,0.7503910660743713
mnum:Authentic,0.7452558875083923
topic:1,0.7415460348129272
topic:111,0.7372859120368958
mnum:focuspast,0.7333360314369202
topic:96,0.7294799089431763
topic:154,0.7268989086151123
topic:58,0.7265063524246216
