feature,gain_mean,gain_std
bow:19,10.513528823852539,0.0
bow:seeing,9.532299041748047,0.0
bow:moment,6.033995628356934,0.0
bow:energy,5.645193099975586,0.0
bow:baby,5.5965471267700195,0.0
bow:morning,5.5775840282440186,3.091153382448911
topic:165,5.336939811706543,0.0
bow:father,5.243258357048035,4.503797564770855
topic:51,5.057295322418213,0.0
bow:taking,5.05556058883667,0.0
bow:kids,5.04747200012207,0.0
bow:brilliant,5.032057762145996,0.0
bow:2019,4.88726282119751,0.0
bow:york,4.598135948181152,0.0
bow:url happy,4.574141979217529,0.0
bow:alien,4.5583367347717285,0.0
bow:full,4.4122170607248945,3.0930946094152207
topic:78,4.411638259887695,0.0
bow:said,4.389910697937012,0.0
bow:airport,3.955676317214966,0.0
bow:could,3.916339715321859,1.4305004077159904
bow:check,3.733582019805908,0.0
topic:123,3.6776881217956543,0.0
bow:students,3.6724809408187866,0.4458082901239816
bow:sad,3.583231210708618,0.0
bow:hey,3.578165054321289,0.0
bow:waiting,3.484942674636841,0.0
bow:important,3.447237730026245,0.0
bow:talk,3.4372944831848145,0.0
bow:looks,3.4367990493774414,0.0
bow:man,3.3959245681762695,0.0
bow:tomorrow,3.3341188430786133,0.0
bow:things,3.332542578379313,1.16282015425863
bow:night,3.2470853328704834,1.6386940838630903
topic:42,3.2144805192947388,1.5298616487012895
mnum:hear,3.1978740096092224,3.0815308354653888
bow:fire,3.126861095428467,0.0
bow:right,3.1257155537605286,1.8585643301818728
bow:sign,3.0403096675872803,0.36650228358165493
topic:145,2.958557963371277,1.3213905233244603
bow:gets,2.858259081840515,1.6183205274614205
bow:follow,2.836272716522217,0.0
bow:women,2.749739646911621,0.27239362571434567
topic:63,2.7101526260375977,3.238980587615173
bow:much,2.637258529663086,0.0
bow:se,2.634227752685547,0.0
bow:keep,2.630314826965332,0.0
topic:113,2.625065565109253,0.07614991436511907
bow:every,2.60665300488472,2.91888130017427
bow:done,2.6012651920318604,0.0
bow:put,2.474356174468994,0.0
topic:161,2.4581037163734436,2.993249540812288
bow:change,2.4436092376708984,0.0
bow:days,2.4100368916988373,0.9803147081748909
bow:another,2.3936967849731445,0.57422282545352
topic:128,2.3844469785690308,0.8832895430939689
bow:friends,2.3795032501220703,0.0
bow:wow,2.3750240802764893,0.0
bow:link,2.367189407348633,0.0
topic:166,2.3551531434059143,2.107470591146465
bow:long,2.259360909461975,1.5545323907708384
topic:59,2.250039577484131,0.0
mnum:conj,2.2254605690638223,2.351339375182137
topic:103,2.2069604992866516,0.629995497206895
topic:179,2.205216964085897,1.240788127279276
topic:177,2.1754263192415237,1.870549566779715
bow:come,2.1749095916748047,0.0
topic:196,2.1574240922927856,0.9493376854149052
topic:38,2.1550057530403137,2.407441466308883
topic:67,2.112912528216839,2.323211861153344
topic:108,2.0857878923416138,1.023355996162829
bow:world,2.0780943483114243,1.5052703651731816
topic:109,2.0548819303512573,0.7224480654571189
bow:made,2.051936149597168,0.0
mnum:female,2.0454590678215028,1.4846741324129
bow:news,2.022121161222458,1.399790477581148
bow:newprofilepic,2.0126938819885254,0.0
bow:truth,2.0010296404361725,0.6859203462341454
bow:let,1.9674690812826157,1.6955255311413886
topic:37,1.9462755918502808,2.5298317066010956
topic:170,1.9344751238822937,2.0564240592154173
bow:last,1.9340637524922688,1.0508340124745021
topic:200,1.934029906988144,2.437052374557847
bow:call,1.912100076675415,1.2100076871013177
mnum:sexual,1.8885686993598938,1.6274090965869044
bow:need,1.8528814415136974,1.6279790683848903
topic:36,1.8387184858322143,1.1499582391219725
topic:58,1.834620475769043,0.30555386211076296
bow:good,1.833754301071167,1.1105836196031573
topic:65,1.832161784172058,0.825169038997446
user:posting_frequency,1.8288984060287476,0.7264796420577203
bow:found,1.825707584619522,0.7472395324453526
topic:189,1.8233478307723998,1.198832172167618
topic:120,1.7902567744255067,1.8223340141769193
topic:110,1.7871356010437012,1.707136612470421
mnum:space,1.7414555311203004,0.7020312060165463
topic:190,1.7353068590164185,2.1811349823789095
mnum:anx,1.720267693201701,1.651965393570274
mnum:achieve,1.7089283764362335,1.540515722172391
topic:48,1.6891133785247803,1.23836397560081
topic:135,1.6862433180212975,1.0880640787229294
topic:23,1.6753074129422505,1.3713771612976664
bow:away,1.6700315475463867,0.0
topic:55,1.614901140332222,1.68263223665597
bow:life,1.5927852988243103,1.3498056754863443
mnum:risk,1.5794691890478134,0.852806976989354
bow:amp,1.5784936547279358,2.260642427394507
bow:would,1.5688859224319458,0.0
mnum:certain,1.5650491148233414,1.616585673365268
mnum:auxverb,1.5568219050765038,1.560117684874129
topic:194,1.508436381816864,1.1203666973619817
mnum:relig,1.4899171710014343,2.391300457122716
bow:really,1.4896387159824371,1.5011335601377007
topic:79,1.4632697701454163,0.8491820373491339
topic:71,1.4562740325927734,0.0
mnum:negate,1.454238548874855,1.5667129849695425
topic:160,1.4512158632278442,0.26573469974942854
topic:181,1.4505808115005494,2.835508824051683
bow:even,1.4457621574401855,1.717666825554075
bow:getting,1.4231035232543945,0.5789517225422911
mnum:assent,1.4032575115561485,1.2455254658153898
topic:197,1.4017860889434814,1.4864643874887742
bow:trump,1.3868646621704102,0.0
bow:thought,1.3532699048519135,0.6499943032658597
bow:free,1.3230592012405396,0.0797956167613114
user:HU_AverageInterval_days,1.307014262676239,0.5764479212092557
user:U_AccountAge_days,1.2967027425765991,0.5951327131635366
topic:199,1.2859168887138366,0.4417529667347135
bow:think,1.269868830839793,0.6215932219615988
bow:newprofilepic url,1.2647141218185425,0.0
bow:first,1.262520694732666,0.8056855206746943
user:retweet_ratio,1.25957111120224,0.6875167798912953
topic:72,1.257904330889384,1.1241396351650936
bow:bbc,1.2335420846939087,0.0
mnum:home,1.2247321605682373,0.7001397504017247
bow:part,1.2222800254821777,0.0
mnum:ingest,1.2183053493499756,1.1951628732667041
bow:human,1.2119944095611572,0.0
topic:15,1.2094364881515502,1.6756165579151057
bow:work,1.202500581741333,0.0
topic:18,1.194097027182579,0.7041682445282152
bow:run,1.192755937576294,0.026246359854280105
mnum:quant,1.1904605507850647,0.5049175601479595
mnum:feel,1.1816251903772355,1.137293196716505
bow:help,1.1727173030376434,1.0670472234641442
bow:please,1.1680651903152466,0.2784890104584013
topic:39,1.166485995054245,0.5974402051845673
mnum:motion,1.1652165293693542,0.3952423142223341
mnum:function,1.1648377537727357,0.564427305516577
bow:year,1.1640515327453613,0.0
bow:back,1.160199761390686,0.572786038201993
mnum:male,1.154413890838623,0.8376592789730614
bow:use,1.1495733708143234,0.9623576420297095
mnum:Analytic,1.147597223520279,0.638805614757778
bow:never,1.1415479853749275,0.48501140193749237
mnum:relativ,1.1398414686322211,0.6481664023242848
mnum:affiliation,1.132706606388092,0.2100852912980915
topic:87,1.1290394484996795,0.8934814754722549
bow:happy,1.1265038847923279,0.9366049131552961
bow:big,1.1240103244781494,0.0
topic:7,1.1101975478231907,1.606275309132508
topic:155,1.1071720838546752,0.5650858123075326
topic:96,1.1045223653316498,0.6686686140104603
mnum:sad,1.085384525358677,1.0120361843677304
mnum:percept,1.081174945831299,0.8103628444315386
mnum:informal,1.063703429698944,0.3154548461706598
topic:24,1.0612901449203491,0.0
bow:take,1.0587376356124878,0.0
topic:68,1.0571290254592896,0.2543958004022562
mnum:Authentic,1.049481749534607,0.6613682819007624
topic:76,1.0351995348930358,0.5258941953050819
topic:133,1.013992428779602,0.5745343749577124
topic:185,1.0023329854011536,0.6779054049251432
topic:102,1.0019330978393555,0.0
topic:195,0.9824976474046707,0.5397493967602085
bow:love,0.9802177548408508,0.7004486749398876
topic:33,0.9645473957061768,0.0
topic:129,0.9616382598876954,0.19845225336221262
bow:know,0.9580211192369461,0.8037298433171972
mnum:see,0.955742883682251,0.3880778839169303
mnum:cogproc,0.954190444946289,0.5594567877025594
bow:school,0.9418210983276367,0.0
topic:25,0.9412505626678467,0.0
bow:family,0.9397808313369751,0.0
bow:today,0.9353526830673218,0.0
topic:164,0.9274267156918844,0.04816688964169893
topic:61,0.9184683561325073,0.0
bow:going,0.9008564949035645,0.28846887842359886
mnum:leisure,0.8997363060712814,0.655294482326916
mnum:health,0.8952678143978119,0.19635785124578445
mnum:work,0.8719717025756836,0.6579817391246172
mnum:body,0.8680980280041695,0.5191717698980958
mnum:focusfuture,0.8651436567306519,0.34530916761446845
topic:126,0.8625339865684509,0.29156011553855354
mnum:focuspresent,0.8527233824133873,0.4440037175364782
bow:twitter,0.8471402227878571,0.2151672059339975
mnum:Dic,0.8386613547801971,0.5296565444966425
topic:163,0.8309260308742523,0.13711259119097408
mnum:verb,0.8221678376197815,0.39136822838439655
user:followers_count,0.8162313103675842,0.30047049459874536
topic:1,0.813673597574234,0.5778934112911893
topic:83,0.8128554224967957,0.7360664755521108
topic:34,0.8124752044677734,0.4903287915568402
topic:184,0.8105064431826273,0.1979602281653751
topic:105,0.8047626405954361,0.6333696506044206
bow:power,0.7994938492774963,0.0
mnum:discrep,0.7917999148368835,0.3062979575574852
mnum:friend,0.7896007299423218,0.0
topic:93,0.7878710836172104,0.9933968727578931
user:retweet_count,0.7659004688262939,0.4085520300849656
mnum:WC,0.7550941407680511,0.7706433221319897
topic:41,0.754649817943573,0.14442325709312823
mnum:we,0.747717926899592,0.4348949991006037
topic:154,0.7455193787813187,0.530675333030474
topic:116,0.7350650131702423,0.47178977275675504
mnum:cause,0.7316983699798584,0.4234825039319894
mnum:adverb,0.7300085008144379,0.6987498334780274
mnum:drives,0.7279297530651092,0.2521095259276248
topic:27,0.7181360224882761,0.49037305939507553
mnum:bio,0.7143713563680649,0.5039751247839902
topic:146,0.7099120736122131,0.2961870682308267
topic:176,0.7029476836323738,0.7322396950601547
mnum:time,0.6966048955917359,0.3546535834504812
bow:old,0.6918812990188599,0.0
user:following_count,0.6912502497434616,0.437408413055851
mnum:Clout,0.6833502054214478,0.39236737690361195
mnum:Sixltr,0.6684571266174316,0.22665434260397013
bow:end,0.6550984382629395,0.0
topic:40,0.6524350270628929,0.6861204805192961
mnum:reward,0.647715562582016,0.6464465946079149
mnum:tentat,0.6381372928619384,0.5397126521638579
topic:149,0.6364826440811158,0.3757592712660554
bow:best,0.633657693862915,0.0
mnum:social,0.630788141489029,0.23598894244190316
bow:video,0.624267578125,0.0
mnum:Tone,0.6232415348291397,0.41608873015442766
topic:92,0.6170119881629944,0.3078901794028768
mnum:swear,0.6099995970726013,0.26789582155367314
topic:91,0.6078992088635763,0.1915221331483371
user:U_FolloweeNumDay,0.6029782891273499,0.08086182385206137
topic:50,0.600712925195694,0.2844986922641703
topic:107,0.6001392126083374,0.28881282217658616
mnum:differ,0.582032506664594,0.6132091643114542
mnum:insight,0.5752810418605805,0.17499166182696063
bow:got,0.5613117516040802,0.1607258114099483
topic:85,0.5576941967010498,0.0
bow:go,0.5576872080564499,0.5934183758001398
mnum:power,0.5541949659585953,0.41086549332163563
bow:job,0.5539658665657043,0.0
bow:home,0.5527744293212891,0.0
topic:75,0.5471618637442589,0.2784209370267299
mnum:anger,0.5462366804480553,0.3692350069520132
bow:usr usr,0.5390332415699959,0.5100818863915948
topic:131,0.538987398147583,0.0
mnum:negemo,0.5381035566329956,0.2199453827840257
user:HU_TweetPercent_Retweet,0.5346481680870057,0.09992057706850464
mnum:number,0.5241370975971222,0.17166171052937737
mnum:compare,0.5124541699886322,0.38791284049444275
mnum:affect,0.5100972652435303,0.1492452960310642
mnum:prep,0.5039736270904541,0.1697600547739823
mnum:adj,0.5032102108001709,0.1629029667439853
mnum:family,0.49128837287425997,0.23070617348992364
topic:3,0.4800824820995331,0.4809835936772619
mnum:focuspast,0.4731160819530487,0.21642263943140116
topic:182,0.47050992647806805,0.3462156860750751
bow:want,0.4682210758328438,0.3346032297353964
topic:70,0.4662722945213318,0.2671690370311848
mnum:money,0.4594257682561874,0.34197553170475964
mnum:pronoun,0.4558215200901031,0.2391569031392933
mnum:posemo,0.443662291765213,0.17169612338270673
bow:years,0.425053209066391,0.0
bow:great,0.422230489552021,0.5015109032784194
topic:20,0.4141797721385956,0.0
topic:56,0.405634085337321,0.13012323642280335
