feature,gain_mean,gain_std
bow:successful,10.766292572021484,0.0
bow:father,6.9504499435424805,0.0
bow:experience,6.9470672607421875,0.0
bow:full,6.71920919418335,4.538382762896712
bow:long,6.015994071960449,0.0
bow:york,5.868864059448242,0.0
topic:102,5.862505912780762,0.0
topic:109,5.66097104549408,3.8121677807070835
bow:nothing,5.632370471954346,0.0
bow:old,5.631752967834473,0.0
bow:stop,5.317129135131836,0.0
bow:students,5.272311687469482,1.7460885663303536
bow:left,5.183035850524902,0.0
bow:run,5.116591691970825,1.3788159415953416
bow:case,5.087425231933594,0.0
topic:165,4.756821632385254,0.0
bow:came,4.551084518432617,0.0
bow:sad,4.365687131881714,0.15770507775806328
bow:hey,4.340394020080566,0.0
bow:july,4.339750289916992,0.0
bow:care,4.140500545501709,0.0
bow:home,4.1300095319747925,3.9304250941328904
bow:best,4.072137832641602,0.0
bow:brilliant,4.054719924926758,0.0
bow:2019,4.048571586608887,0.7469284723587926
topic:42,3.920129656791687,4.822003629998723
topic:54,3.874070167541504,0.0
topic:88,3.6066160202026367,0.0
bow:getting,3.5797495245933533,1.34325434134066
bow:things,3.534088909626007,0.5676179672719783
topic:41,3.511655807495117,0.0
bow:words,3.4913525581359863,0.0
bow:gets,3.485635836919149,2.2729204747131537
bow:talk,3.410245895385742,0.0
topic:194,3.3342632412910462,2.9822041171909826
bow:buy,3.3299243450164795,0.0
bow:days,3.291676640510559,0.850238886625728
bow:sign,3.131382644176483,0.5230830928498651
topic:23,3.1286373138427734,0.0
bow:better,3.073920726776123,0.0
bow:born,3.069220542907715,0.0
bow:thanks,2.9979076385498047,0.0
bow:wrong,2.986046075820923,0.0
topic:173,2.9027551412582397,1.1401921178568486
bow:url check,2.876358985900879,0.0
bow:political,2.8157005310058594,0.0
bow:party,2.7825889587402344,0.0
bow:yet,2.6767425537109375,0.0
bow:win,2.6712546348571777,0.0
bow:found,2.645893597602844,1.239547687999443
topic:98,2.6143674850463867,0.0
topic:71,2.562125563621521,0.3307956096839374
bow:every,2.532886043190956,1.4402037813571036
topic:30,2.530674457550049,0.0
topic:198,2.530471086502075,0.0
bow:water,2.466896712779999,2.1114975147519965
bow:taking,2.4609791040420532,0.7011630967358
bow:women,2.4553573727607727,1.1901437154875574
bow:food,2.450862169265747,0.0
bow:little,2.4326066970825195,0.0
bow:nasa,2.4264421463012695,0.0
bow:network,2.4178740978240967,0.0
bow:brothers,2.3682355880737305,0.0
mnum:conj,2.3443782329559326,0.0
bow:morning,2.2548749446868896,0.0
bow:around,2.219364643096924,0.0
bow:al,2.2002506256103516,0.0
bow:night,2.199831962585449,0.07530225694786798
topic:21,2.1994454860687256,0.0
bow:stand,2.163235664367676,0.0
bow:done,2.1454800367355347,0.5773894024758405
topic:78,2.096299648284912,0.0
bow:make,2.093085507551829,1.7657752285436574
topic:196,2.091787099838257,1.0027411246022946
bow:let,2.088523417711258,1.8431140120142038
bow:could,2.0760581890741983,1.5272544754241193
bow:much,2.061081051826477,1.4787867489766358
topic:170,2.0456552132964134,1.1583687360610504
